,Description,United States Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
38,               Housing and community development,"7,722,921","128,938","44,691","30,783","58,088","1,150,062","160,317","121,663","16,161","49,648","331,386","140,180","36,761","67,179","237,706","61,977","25,324","32,304","39,122","36,453","56,580","219,392","395,901","75,244","315,949","49,479","97,272","11,954","46,200","33,619","36,224","223,330","21,538","1,254,751","168,737","10,292","196,040","89,023","103,981","315,389","42,608","62,032","7,380","70,527","296,890","33,279","14,984","188,309","388,235","33,335","90,575","5,127"
39,               Sewerage,"64,632,895","628,133","121,381","1,006,764","365,877","9,827,361","1,173,392","462,760","194,003","373,911","3,845,697","2,360,870","530,350","275,554","1,508,143","1,887,344","636,454","549,034","712,032","531,931","216,286","1,444,594","1,743,541","2,275,834","1,231,307","299,386","1,255,428","152,537","352,207","559,502","171,003","1,657,022","222,903","2,955,855","1,534,950","79,373","2,480,350","505,210","1,264,675","3,269,008","239,233","808,066","111,769","1,072,572","4,805,799","544,718","84,321","1,782,509","2,983,509","286,601","1,180,206","71,629"
40,               Solid waste management,"19,677,161","262,276","95,209","502,543","201,084","3,488,114","122,709","151,050","85,300","6,528","2,535,724","713,108","191,014","188,154","381,419","175,023","298,100","180,061","129,486","221,054","52,807","459,332","118,585","288,955","385,494","181,530","126,349","69,879","63,177","25,303","42,025","404,789","220,003","627,267","628,301","84,901","349,407","337,818","172,484","595,744","24,808","231,277","59,957","276,831","1,730,677","236,248","26,296","586,884","936,815","47,271","277,110","80,882"
41,               Other charges,"82,649,222","559,491","350,690","1,120,700","502,760","22,201,087","1,473,918","653,004","146,956","183,611","6,715,771","1,769,345","180,062","480,798","2,219,513","401,257","429,032","584,057","577,700","1,018,233","484,412","1,252,632","1,150,361","3,076,179","1,363,517","316,543","862,145","230,323","728,010","774,184","382,463","1,631,130","339,542","4,073,315","1,439,919","402,742","2,139,466","734,749","2,511,251","2,609,195","493,802","1,039,322","142,545","1,256,480","3,939,864","1,221,204","118,628","1,371,991","2,395,160","711,101","1,719,773","169,290"
42,          Miscellaneous general revenue,"265,742,348","2,684,387","2,776,214","4,041,767","1,711,336","32,244,649","4,753,100","2,139,819","1,292,839","966,540","19,272,843","5,378,715","1,768,138","856,820","9,527,764","4,378,923","2,526,807","2,362,616","2,018,288","2,982,881","700,890","4,321,426","7,050,307","7,160,196","4,841,840","1,121,338","4,481,837","726,848","1,483,468","1,874,699","1,030,225","9,141,348","4,203,766","22,236,155","5,969,133","1,417,813","10,887,672","3,536,402","4,932,022","8,563,146","1,105,670","3,632,346","735,152","4,389,255","23,062,936","2,743,314","487,209","7,223,740","5,905,602","1,300,881","4,649,042","1,142,225"
43,               Interest earnings,"70,011,791","600,887","1,342,715","1,109,432","388,408","10,240,684","1,386,499","810,720","171,584","144,456","2,609,012","883,831","394,046","230,574","2,790,426","1,409,698","434,134","452,174","603,716","695,707","184,184","916,576","1,583,114","1,829,272","1,177,695","239,573","1,279,917","241,276","329,993","725,857","419,760","2,179,949","1,105,273","5,968,845","1,461,728","808,126","2,678,434","620,124","1,129,701","2,025,400","412,213","794,064","281,794","1,324,648","7,273,843","877,679","125,323","1,538,814","1,838,023","247,718","1,055,891","638,281"
44,               Special assessments,"10,864,057","26,798","10,430","100,619","25,235","2,361,116","399,631","16,090","27,725","5,009","3,306,150","130,887","25,359","75,519","675,478","19,277","23,891","142,767","17,851","32,210","8,937","125,146","6,429","187,614","329,456","6,568","89,585","89,281","64,226","106,504","2,511","9,828","7,373","135,297","27,162","150,082","401,117","17,096","86,071","71,425","6,219","57,919","16,215","162,026","578,903","40,350","2,890","76,395","495,148","15,960","59,363","8,919"
45,               Sale of property,"4,926,107","93,712","420,044","267,166","18,071","580,460","109,582","22,375","4,367","1,687","312,754","139,930","1,148","54,603","82,775","81,268","51,835","23,978","65,062","11,483","12,515","36,960","54,205","111,489","70,938","25,223","73,261","11,679","8,069","33,913","7,753","119,738","11,613","237,847","112,632","14,567","107,686","49,390","78,479","157,717","2,244","41,489","11,797","76,838","325,960","116,325","29,868","310,251","224,825","4,318","97,868","6,351"
46,               Other general revenue,"179,940,393","1,962,989","1,003,026","2,564,551","1,279,623","19,062,389","2,857,387","1,290,634","1,089,163","815,388","13,044,927","4,224,067","1,347,585","496,125","5,979,084","2,868,680","2,016,947","1,743,697","1,331,659","2,243,481","495,254","3,242,743","5,406,560","5,031,821","3,263,751","849,974","3,039,073","384,612","1,081,179","1,008,425","600,200","6,831,833","3,079,507","15,894,165","4,367,611","445,038","7,700,435","2,849,792","3,637,772","6,308,605","684,995","2,738,873","425,347","2,825,744","14,884,229","1,708,960","329,128","5,298,279","3,347,606","1,032,885","3,435,921","488,673"
47,Utility revenue,"182,485,503","3,419,088","454,011","5,432,475","1,062,806","33,805,185","3,298,444","891,639","501,416","1,001,705","10,067,422","4,718,027","431,674","249,719","6,005,250","2,887,378","1,237,566","1,709,324","1,916,676","1,301,767","164,351","1,197,361","4,032,161","3,322,534","2,760,845","912,361","2,588,076","184,785","4,425,326","1,413,108","132,911","2,345,688","716,510","16,418,480","4,331,844","303,246","3,183,508","2,131,312","2,246,307","3,328,337","240,098","3,748,137","351,323","9,070,155","17,494,081","2,100,707","231,587","2,235,235","7,822,912","289,053","2,143,637","227,959"
48,     Water supply,"73,952,784","1,000,418","119,296","1,628,718","536,653","16,542,612","1,870,044","372,418","100,707","212,027","4,704,789","1,786,156","370,391","158,266","3,103,027","969,491","612,621","809,290","862,057","514,939","133,154","932,505","1,576,006","1,875,271","856,619","382,672","807,238","181,452","319,549","1,201,507","110,077","1,069,648","454,625","2,775,347","1,566,879","274,033","1,850,354","969,187","1,352,286","1,801,176","206,929","985,826","157,408","1,257,370","9,387,722","778,107","85,584","1,410,632","1,718,244","264,734","805,892","130,836"
49,     Electric power,"84,387,429","1,975,002","312,950","3,619,534","521,272","14,610,602","1,079,943","371,586","379,670",0,"4,791,267","1,950,033",0,"88,410","1,579,740","1,508,571","535,274","847,936","686,335","634,910","15,702","87,647","1,486,101","1,369,900","1,669,841","411,855","1,590,223","1,351","3,779,804","124,454","12,953","187,605","194,082","6,622,081","2,525,704","25,437","1,211,129","1,121,412","749,566","198,663","8,352","2,484,065","182,124","6,566,289","7,564,109","1,245,367","140,752","453,787","5,492,585","12,249","1,262,940","96,267"
50,     Gas supply,"6,921,554","438,291","16,022","42,503","1,675","332,381","162,399","21,462",0,0,"278,994","816,550",0,0,"232,062","359,199","66,350","43,188","343,706","118,391",0,"6,958","52,573",0,"101,704","116,246","116,564",0,"318,525",0,0,0,"48,946","10,964","167,444",105,"39,703","32,146",514,"655,891",0,"262,144","11,770","1,187,980","284,594","11,657",0,"213,755","6,533",241,"1,423",0
51,     Transit,"17,223,736","5,377","5,743","141,721","3,206","2,319,590","186,058","126,173","21,039","789,678","292,372","165,288","61,283","3,043","1,090,421","50,117","23,321","8,909","24,578","33,526","15,495","170,252","917,482","77,363","132,680","1,588","74,050","1,982","7,448","87,147","9,882","1,088,435","18,857","7,010,087","71,817","3,671","82,322","8,566","143,941","672,606","24,817","16,102",21,"58,516","257,657","65,577","5,252","157,061","605,550","11,829","73,382",857
52,Liquor store revenue,"10,636,725","378,578","8,779",0,0,0,0,0,0,0,0,0,0,"183,960",0,0,"340,004",0,0,0,"201,784","303,158",0,"1,181,471","299,559","373,794",0,"104,503",0,0,"707,247",0,0,0,"880,004",0,"1,277,678",0,"665,690","2,126,928",0,0,"13,375",0,0,"426,588","65,355","873,819",0,"103,466",0,"120,986"
53,Insurance trust revenue2,"415,576,401","4,895,360","1,297,180","7,354,329","2,556,628","99,380,539","1,896,594","4,983,418","772,872","1,071,160","17,424,562","10,652,797","1,445,055","2,324,324","10,473,821","3,932,118","4,632,232","2,267,090","4,014,961","3,734,404","1,486,934","6,410,202","8,249,826","8,881,669","10,399,157","3,179,845","7,761,250","1,390,224","1,734,750","6,031,983","1,232,697","10,012,615","3,446,031","46,504,373","10,027,861","944,034","13,516,007","3,252,721","9,493,481","13,631,332","1,363,077","4,540,835","892,328","9,543,898","20,693,804","548,426","546,426","10,081,463","13,820,369","1,651,212","-1,243,283","441,408"
54,     Unemployment compensation,"37,202,336","233,540","144,119","466,128","198,636","5,978,491","594,982","750,055","93,937","172,667","567,979","652,564","198,764","142,177","1,845,970","489,280","443,939","304,482","388,917","235,793","129,695","521,798","1,831,148","1,296,359","774,670","115,964","387,830","131,806","86,686","702,332","66,392","2,213,922","142,996","2,464,805","589,388","121,662","1,130,358","283,121","1,029,856","3,026,215","233,554","331,041","33,893","300,655","2,464,461","189,384","128,454","426,026","1,209,761","222,303","631,514","81,867"
55,     Employee retirement,"355,072,567","4,661,820","1,147,431","6,888,201","2,338,005","84,493,151","646,543","4,200,786","678,935","898,493","16,642,806","9,884,629","1,246,291","1,956,944","8,584,137","3,437,001","4,177,610","1,962,608","3,323,817","3,269,627","1,345,789","5,765,502","5,860,430","7,571,980","9,558,403","3,058,244","7,273,692","1,080,922","1,648,018","5,329,651","1,166,305","7,026,961","3,289,501","40,949,614","9,438,473","587,213","10,339,944","2,969,600","7,823,120","10,442,362","920,438","4,134,133","854,813","9,243,243","16,803,830","342,962","417,972","9,653,153","10,195,613","1,343,184","-1,874,797","73,462"
