,Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
15,               General sales,"377,691,426",0.1,"4,836,747",1.03,"234,574",1.34,"9,872,128",0.36,"4,434,087",0.36,"52,365,154",0.45,"6,821,412",1.6,"3,752,793",0,0,0,"1,343,192",0,"24,644,529",0.07,"9,092,543",0.61,"3,439,477",0,"1,562,111",0.1,"14,008,597",0.26,"7,306,331",0,"3,480,691",0.34,"4,330,181",0.46,"3,462,704",0,"7,468,561",0.4,"1,359,207",0,"4,504,242",0,"6,089,860",0,"9,263,616",0,"5,763,175",0.08,"3,297,760",0,"6,136,137",0.79,0,0,"2,173,007",0.14,"4,947,528",0,0,0,"9,267,703",0,"2,976,796",0.2,"29,765,587",0.39,"9,975,846",0.37,"1,282,114",0.11,"14,633,903",0.29,"4,509,859",1.17,0,0,"11,135,202",0,"973,585",0,"3,691,109",0.06,"1,443,742",0.14,"9,077,747",0.28,"39,783,632",0.39,"2,830,902",0.41,"384,535",0.32,"5,286,082",0.38,"17,150,929",0.5,"1,310,924",0.02,"5,461,949",0.32,"758,936",0.02
16,               Selective sales,"181,933,566",0.09,"2,927,998",0.34,"374,639",0.72,"2,330,206",0.31,"1,488,594",0.23,"18,158,599",0.65,"2,553,371",0.76,"2,766,112",0,"555,513",0,"440,790",0,"12,666,517",0.67,"4,177,263",0.46,"1,326,112",0,"605,164",0.13,"10,119,721",0.33,"3,599,829",0.1,"1,697,329",0.21,"1,358,895",0.19,"2,822,856",0.26,"2,500,009",0.13,"725,343",0.04,"5,382,686",0.05,"3,049,636",0.11,"4,343,402",0.05,"4,740,291",0.04,"1,594,974",0.25,"2,404,436",1.15,"571,566",0.05,"671,510",0.59,"2,918,830",0,"961,329",0,"4,100,951",0.18,"965,606",0.1,"13,601,541",0.05,"4,430,365",0.36,"504,540",0.02,"6,216,380",0.06,"1,459,383",0.25,"1,971,743",0.66,"9,505,286",0.03,"720,799",0.08,"1,649,942",0.33,"493,692",0.02,"3,303,734",0.71,"16,438,831",0.22,"1,541,393",0.53,"669,841",0.03,"4,427,543",0.5,"5,600,921",0.55,"1,466,443",0.06,"2,813,990",0.17,"217,122",0.33
17,                    Motor fuel,"45,177,554",0.02,"660,470",0.53,"48,773",0,"898,234",0,"479,925",0,"5,000,539",0,"667,037",0,"467,749",0,"125,453",0,"25,332",0,"3,382,354",0.23,"1,655,028",0,"171,271",0,"337,335",0,"1,534,513",0,"845,384",0,"689,693",0,"450,633",0,"750,034",0,"622,234",0,"245,053",0,"1,017,769",0,"766,553",0,"1,017,267",0,"901,156",0,"451,025",0,"717,178",0,"186,083",0,"342,004",0,"500,719",0,"152,086",0,"554,473",0,"248,781",0,"1,612,425",0,"1,936,102",0,"196,837",0,"1,855,699",0,"463,962",0,"533,863",0.13,"2,971,950",0,"90,032",0,"574,513",0,"189,366",0,"897,608",0,"3,500,210",0,"419,727",0,"77,404",0,"945,408",0,"1,457,933",0,"383,920",0,"1,043,282",0,"115,175",0
18,                    Alcoholic beverage,"7,270,434",0.07,"260,832",0.66,"47,756",0.55,"72,281",0,"61,068",0,"368,699",0,"43,407",0,"56,345",0,"20,274",0,"6,468",0,"396,418",0,"334,809",1.04,"50,590",0,"9,280",0.39,"358,040",0,"48,310",0,"22,423",0,"133,709",0,"139,248",0,"66,512",0.18,"18,741",0,"31,627",0,"83,395",0,"156,499",0,"93,991",0,"42,352",0,"36,849",0,"31,907",0,"30,520",0,"45,098",0,"12,850",0,"138,841",0.02,"39,280",0,"325,280",0,"447,914",0.28,"9,026",0,"112,075",0.01,"120,099",0,"18,375",0,"410,864",0,"20,399",0,"174,621",0.03,"17,884",0.1,"383,462",0.88,"1,191,961",0,"51,563",0,"25,025",0,"268,547",0,"347,642",0,"26,389",0.7,"58,970",0,"1,919",0
19,                    Tobacco products,"18,464,750",0.01,"212,026",0.52,"106,275",0.24,"317,331",0,"230,527",0,"840,034",0,"202,999",0.09,"350,723",0,"111,762",0,"30,451",0,"1,223,029",0,"219,870",0,"124,890",0,"50,574",0,"1,010,531",0,"443,210",0,"227,901",0,"146,552",0,"245,581",0,"121,200",0,"141,464",0,"395,266",0,"640,839",0,"946,468",0,"650,042",0,"145,931",0,"114,497",0.3,"86,289",0,"61,258",0,"174,663",0,"203,102",0,"677,216",0,"81,824",0,"1,291,927",0,"286,286",0,"30,757",0,"1,029,484",0,"316,471",0,"270,199",0,"962,110",0,"144,403",0,"28,138",0,"70,782",0,"263,739",0,"1,479,863",0,"119,717",0,"80,418",0,"236,996",0.35,"450,805",0,"194,732",0,"649,538",0,"24,060",0
20,                    Public utilities,"27,514,198",0.47,"765,497",0.94,"12,316",0.03,"219,460",1.42,"151,345",1.97,"3,840,395",2.07,"162,010",3.63,"298,858",0,"59,801",0,"186,498",0,"4,449,077",1.88,"350,560",3.4,"290,444",0,"38,427",2.03,"2,611,442",1.06,"279,537",1.06,"242,425",1.42,"231,564",1.06,"378,391",0.5,"183,047",1.74,"28,256",1.03,"590,491",0.16,0,0,"88,119",1.41,"116,086",1.36,"66,059",4.6,"393,713",3.89,"43,995",0,"131,970",3.03,"289,105",0,"56,704",0,"1,036,874",0.23,"83,377",0.65,"1,722,295",0.29,"54,772",0.12,"55,931",0.01,"1,192,792",0.26,"147,181",2.25,"311,064",3.11,"1,326,944",0,"103,971",0,"95,964",1.31,"12,048",0.39,"124,179",3.11,"1,923,611",1.48,"234,786",2.35,"11,389",0,"683,739",1.12,"1,301,227",2.33,"138,004",0.56,"368,724",0,"29,734",1.29
21,                    Other selective sales,"83,506,630",0.13,"1,029,173",0.55,"159,519",1.67,"822,900",0.8,"565,729",0.29,"8,108,932",1.08,"1,477,918",1.26,"1,592,437",0,"238,223",0,"192,041",0,"3,215,639",0.4,"1,616,996",0.91,"688,917",0,"169,548",0.03,"4,605,195",0.41,"1,983,388",0.09,"514,887",0.22,"396,437",0.2,"1,309,602",0.54,"1,507,016",0.04,"291,829",0,"3,347,533",0.08,"1,558,849",0.22,"2,135,049",0.09,"2,979,016",0.03,"889,607",0.3,"1,142,199",2.03,"223,292",0.12,"105,758",0.06,"1,909,245",0,"536,587",0,"1,693,547",0.42,"512,344",0.15,"8,649,614",0.06,"1,705,291",0.93,"211,989",0.04,"2,026,330",0.1,"411,670",0.38,"838,242",1.05,"3,833,418",0.07,"361,994",0.15,"776,706",0.69,"203,612",0.03,"1,634,746",1.39,"8,343,186",0.27,"715,600",0.84,"475,605",0.04,"2,292,853",0.91,"2,043,314",0.32,"723,398",0.05,"693,476",0.68,"46,234",1.3
22,          Individual income,"375,310,400",0.04,"3,744,038",0.01,0,0,"3,968,884",0,"2,781,458",0,"80,753,345",0,"6,485,602",0,"7,557,153",0,"1,169,922",0,"1,907,862",0,0,0,"10,439,534",0,"2,116,130",0,"1,521,238",0,"12,642,673",0,"6,539,103",0.52,"3,656,375",0,"2,233,603",0.01,"5,645,256",0.23,"2,866,456",0,"1,551,637",0,"13,710,859",0.03,"14,430,331",0,"9,700,044",0.13,"10,732,570",0,"1,800,053",0,"6,413,681",0,"1,181,042",0,"2,244,719",0,0,0,"93,958",0,"13,355,992",0,"1,043,515",0,"58,256,356",0,"12,042,957",0,"351,125",0,"13,413,141",0.7,"3,324,654",0,"7,611,760",0,"16,915,827",0.57,"1,236,194",0,"3,869,342",0,0,0,"323,952",0,0,0,"3,374,535",0,"729,986",0,"12,237,996",0,0,0,"1,848,866",0,"7,486,676",0,0,0
23,          Corporate income,"53,580,527",0.03,"473,736",0,"67,457",0,"570,548",0,"450,159",0,"9,902,185",0,"626,109",0,"765,492",0,"323,697",0,"556,468",0,"2,272,230",0,"981,002",0,"108,169",0,"188,996",0,"2,742,812",0,"1,034,367",0,"376,865",0,"391,877",0,"784,278",0.3,"171,579",0,"137,492",0,"1,129,008",0,"2,333,892",0,"1,052,320",0,"1,515,697",0,"463,111",0,"404,453",0,"118,969",0,"307,672",0,0,0,"573,653",0,"2,229,487",0,"89,708",0,"10,614,430",0,"1,066,511",0,"103,069",0,"250,187",6.47,"327,783",0,"714,581",0,"2,916,491",0,"144,269",0,"408,297",0,"33,736",0,"1,538,649",0,0,0,"333,358",0,"129,899",0,"752,689",0,0,0,"116,305",0,"986,785",0,0,0
24,          Motor vehicle license,"27,538,213",0.1,"242,110",0.99,"61,171",0.02,"231,309",0,"163,023",0,"4,060,557",0.05,"591,757",0.4,"224,287",0,"54,287",0,"36,751",0,"1,552,270",0,"366,897",0,"377,589",0,"185,655",0,"1,740,772",0.1,"340,543",1.03,"631,740",0.12,"245,808",0.61,"218,261",0.71,"136,771",0.07,"108,910",0.02,"492,753",0,"464,428",0,"1,060,521",0,"756,419",0.1,"158,029",0,"306,863",0.55,"152,062",0.06,"201,024",5.74,"196,610",0,"102,438",0,"642,537",0,"254,814",0.15,"1,541,391",0.19,"796,830",0.31,"121,835",0,"870,993",0.86,"727,864",0,"553,037",0,"900,127",0,"22,793",0,"301,697",0.1,"106,490",0.22,"475,737",1.09,"2,557,081",0.8,"184,384",0,"71,659",0,"656,840",0.57,"688,021",0.18,"4,431",0.19,"497,087",0.18,"100,950",0.04
25,          Other taxes,"81,371,144",0.19,"1,109,799",1.74,"439,015",0.07,"720,901",1.63,"384,556",0.17,"11,987,578",1.06,"724,977",2.62,"751,394",0.2,"1,609,250",0,"714,814",0,"5,488,171",0.96,"766,694",1.15,"242,727",0,"256,989",1.69,"2,320,561",0.53,"521,909",0.47,"499,251",0.31,"331,503",0.76,"583,489",0.47,"923,659",0.46,"243,033",0.27,"2,088,028",0.12,"1,754,579",0.23,"1,222,703",0.53,"1,508,403",0.26,"521,525",0.32,"904,736",1.96,"372,449",0.08,"464,336",0.85,"1,597,409",0.02,"528,959",0.38,"2,556,329",0.52,"1,011,873",0.06,"8,856,444",0.29,"1,603,540",0.42,"1,672,976",0.21,"1,950,824",0.78,"743,449",0.27,"1,510,646",0.7,"4,408,159",0.65,"210,276",1.02,"1,245,235",0.85,"221,333",0.57,"1,696,745",0.32,"4,269,502",0.48,"281,483",0.92,"109,324",0.27,"2,003,861",0.69,"2,929,505",0.6,"821,017",0.47,"976,692",0.35,"708,534",0.23
26,     Charges and miscellaneous general revenue,"722,365,043",0.12,"12,267,367",0.38,"4,825,835",0.23,"10,530,705",0.41,"5,112,140",0.51,"103,135,238",0.61,"13,070,936",0.78,"5,544,135",0.24,"2,898,465",0,"1,709,937",0,"47,572,635",0.46,"16,389,227",0.47,"3,957,216",0,"3,021,444",0.33,"21,054,118",0.6,"14,784,622",0.71,"11,080,037",0.84,"8,142,930",0.89,"7,686,064",0.3,"9,486,683",0.15,"2,021,102",0.65,"11,118,747",0.12,"14,909,808",0.18,"22,731,454",0.63,"12,576,824",0.72,"7,127,988",0.41,"11,800,799",0.93,"1,834,475",0.35,"4,212,832",1.64,"4,598,594",0.33,"2,454,432",0.18,"18,572,501",0.3,"5,243,297",0.11,"52,873,005",0.23,"22,282,283",0.68,"2,187,777",0.4,"25,402,821",0.92,"8,493,827",0.31,"12,528,317",0.49,"25,982,962",0.51,"2,440,699",0.14,"14,506,366",0.2,"1,578,230",0.95,"11,045,466",0.94,"53,756,007",0.34,"7,746,088",1.91,"1,229,088",0.25,"20,950,823",0.27,"19,371,681",0.86,"3,830,941",0.36,"11,961,105",0.6,"2,724,970",0.5
27,          Current charges,"504,268,080",0.16,"10,184,941",0.41,"1,589,998",0.69,"6,937,158",0.6,"3,613,961",0.66,"80,459,550",0.73,"9,242,729",0.94,"3,436,763",0.33,"1,469,275",0,"799,060",0,"30,904,042",0.41,"12,358,709",0.6,"2,531,847",0,"2,253,898",0.42,"13,615,545",0.89,"11,339,668",0.9,"7,129,569",1.29,"5,893,441",1.2,"5,910,764",0.38,"5,867,142",0.14,"1,422,868",0.72,"7,280,568",0.16,"8,750,381",0.3,"16,531,848",0.85,"8,434,839",1.04,"5,849,665",0.48,"7,858,706",1.38,"1,120,093",0.44,"3,053,997",2.22,"3,246,367",0.37,"1,450,964",0.23,"11,612,462",0.38,"2,667,809",0.12,"31,598,937",0.37,"17,747,096",0.85,"1,203,383",0.61,"17,451,782",1.31,"5,399,998",0.44,"9,075,217",0.65,"19,355,624",0.66,"1,418,809",0.21,"11,462,602",0.24,"948,639",1.54,"8,025,642",1.26,"36,508,128",0.44,"5,979,135",2.44,"873,653",0.3,"15,204,963",0.32,"14,788,166",1.07,"2,474,616",0.39,"8,194,234",0.85,"1,738,829",0.76
28,               Education,"131,241,601",0.02,"2,914,762",0,"229,891",0.03,"2,930,839",0,"1,069,062",0,"12,955,850",0,"3,323,765",0,"1,471,060",0.04,"663,953",0,"41,564",0,"4,689,132",0,"3,036,040",0,"450,294",0,"516,262",0,"4,389,368",0,"3,744,747",0,"1,992,198",0,"1,555,771",0,"1,675,951",0,"1,598,467",0,"362,916",0.05,"2,612,746",0,"3,061,921",0.09,"5,972,768",0,"2,493,451",0,"1,336,129",0,"2,624,974",0,"493,964",0,"1,053,075",0,"560,616",0,"662,575",0,"4,039,751",0.01,"695,218",0,"4,288,841",0.58,"3,950,211",0.19,"500,947",0,"6,187,096",0,"2,325,528",0,"2,167,358",0,"6,874,303",0.06,"493,189",0,"2,533,692",0,"430,937",0,"2,117,009",0.34,"9,916,311",0.02,"1,883,717",0,"568,872",0,"4,729,012",0.09,"3,257,070",0,"918,464",0,"2,690,692",0,"189,272",0
29,                    Institutions  of higher education,"115,406,297",0.02,"2,542,480",0,"196,746",0,"2,705,651",0,"909,538",0,"11,809,793",0,"2,851,706",0,"1,341,462",0,"651,131",0,"36,811",0,"3,510,190",0,"2,506,497",0,"417,401",0,"479,396",0,"3,800,197",0,"3,406,433",0,"1,814,584",0,"1,401,813",0,"1,567,680",0,"1,536,302",0,"319,231",0,"2,486,571",0,"2,700,547",0,"5,399,758",0,"1,959,588",0,"1,162,099",0,"2,199,334",0,"431,832",0,"845,375",0,"523,555",0,"613,144",0,"3,273,332",0,"637,460",0,"3,775,518",0.66,"3,687,898",0.17,"422,141",0,"5,151,943",0,"2,007,926",0,"1,989,759",0,"5,918,432",0.07,"426,656",0,"2,250,331",0,"370,328",0,"1,633,340",0,"8,735,667",0,"1,704,466",0,"540,128",0,"4,401,489",0,"2,902,075",0,"874,429",0,"2,405,788",0,"170,346",0
30,                    School lunch sales (gross),"5,638,119",0.1,"110,651",0,"7,308",0.68,"82,831",0,"48,351",0,"366,527",0,"90,771",0,"108,360",0.6,"11,997",0,807,0,"207,059",0,"163,020",0,"24,472",0,"22,672",0,"208,105",0,"188,816",0,"111,713",0,"82,460",0,"64,074",0,"34,980",0,"27,987",0.52,"93,579",0,"174,030",0.6,"157,751",0,"185,392",0,"42,965",0,"130,068",0,"18,042",0,"66,867",0,"22,687",0,"35,534",0,"264,898",0.1,"22,991",0,"246,867",0,"168,542",2.1,"32,067",0,"235,671",0,"70,861",0,"38,824",0,"279,358",0,"18,787",0,"68,948",0,"30,969",0,"84,958",2.87,"616,324",0,"59,262",0,"15,714",0,"211,720",1.81,"101,325",0,"15,177",0,"150,284",0,"14,696",0
31,               Hospitals,"151,433,644",0.31,"5,520,001",0.48,"390,326",2.41,"821,916",0.03,"1,368,275",1.54,"25,032,618",0.92,"2,006,234",1.88,"411,266",0,"5,430",0,"146,786",0,"7,958,450",0.23,"4,068,073",0.95,"650,377",0,"555,522",0,"1,801,973",3.85,"4,860,091",1.77,"3,547,146",2.57,"2,831,775",2.46,"2,348,155",0.22,"2,153,088",0.1,"133,054",0.1,"181,233",0,"307,109",0,"4,311,076",1.75,"2,007,841",3.15,"3,577,320",0.52,"2,645,796",3.81,"88,940",0.01,"709,332",7.65,"679,513",0,"7,329",0,"1,257,058",0,"1,114,557",0.02,"10,366,462",0.62,"9,314,541",1.54,"6,225",0.29,"5,010,756",3.27,"1,220,303",0.87,"2,302,201",2.14,"3,780,053",0.04,"4,984",0,"6,370,029",0.28,"86,063",0.02,"2,883,446",3,"12,084,330",1.01,"2,188,337",6.52,0,0,"4,901,087",0.01,"4,114,634",2.52,"389,478",0.02,"1,763,087",1.44,"1,149,968",0.73
