,Description,United States Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
15,               General sales,"393,759,274","5,057,545","233,759","10,363,019","4,561,341","53,207,859","7,455,680","4,236,619",0,"1,418,935","27,761,468","9,287,472","3,462,574","1,658,435","14,411,303","7,556,326","3,548,346","4,322,807","3,490,653","8,645,377","1,441,867","4,609,538","6,240,822","9,986,926","6,106,985","3,483,438","6,439,486",0,"2,234,400","5,486,444",0,"9,591,881","3,357,565","30,391,167","10,550,750","1,114,521","15,005,206","4,558,408",0,"11,430,195","996,390","3,899,548","1,434,331","9,055,308","40,385,667","3,379,360","389,549","5,430,650","18,407,905","1,383,034","5,610,211","678,204"
16,               Selective sales,"187,515,504","2,996,315","383,038","2,286,962","1,540,495","18,880,882","2,721,321","2,754,847","573,384","446,399","12,608,041","4,422,266","1,327,539","628,521","10,404,490","3,675,608","1,674,662","1,368,729","2,878,683","2,918,203","729,891","5,591,288","2,988,100","4,595,221","4,940,117","1,578,616","2,414,588","634,143","656,626","3,127,191","962,073","4,749,315","904,889","13,727,563","4,480,253","504,972","6,470,978","1,449,903","2,108,777","10,164,784","725,952","1,685,896","483,734","3,364,541","16,749,615","1,399,750","694,144","4,479,546","6,169,223","1,421,231","2,866,666","205,533"
17,                    Motor fuel,"46,531,254","683,090","45,944","856,495","487,526","4,842,749","653,790","484,479","129,487","26,098","3,540,230","1,741,092","168,243","353,548","1,513,090","854,536","674,603","458,008","701,440","634,883","252,870","1,078,313","769,442","1,118,262","912,644","452,692","720,849","231,065","354,234","592,236","152,086","532,878","242,627","1,647,240","1,922,400","189,718","1,985,084","473,960","555,604","3,143,576","90,990","583,476","189,179","915,858","3,585,179","500,948","81,020","1,051,806","1,812,646","383,905","1,044,996","114,140"
18,                    Alcoholic beverage,"7,269,100","267,380","45,994","74,126","61,897","370,714","44,866","63,155","20,577","6,641","323,393","340,596","51,167","9,535","365,207","49,404","22,535","137,801","146,227","79,632","19,266","32,151","85,397","159,378","94,193","41,818","37,863","35,558","30,911","45,011","12,678","137,784","8,919","283,504","469,339","8,872","125,307","118,260","18,796","426,048","20,873","177,967","17,088","407,779","1,228,641","50,002","26,102","224,426","354,939","26,302","61,203","1,878"
19,                    Tobacco products,"19,003,800","217,906","105,773","310,706","228,540","852,894","201,466","381,778","112,349","29,530","1,197,666","220,774","124,160","50,883","942,376","434,337","220,938","138,698","243,096","174,001","144,243","386,965","619,437","1,038,594","681,018","144,792","113,443","83,608","56,954","195,371","203,102","697,577","77,887","1,302,911","292,138","28,977","1,109,821","320,270","247,406","1,401,259","140,074","26,383","61,809","256,762","1,467,486","117,514","76,686","231,612","430,022","194,647","644,478","22,683"
20,                    Public utilities,"27,007,120","774,332","15,016","213,662","157,360","4,071,088","151,986","283,433","58,372","187,667","4,030,750","383,545","241,850","41,338","2,518,804","246,079","242,135","230,694","382,219","201,598","28,518","592,139",0,"86,123","135,110","62,758","379,600","43,468","119,565","285,187","56,007","1,046,295","86,199","1,678,906",259,"62,383","1,203,263","143,086","327,111","1,252,847","97,711","102,132","13,070","92,209","1,922,193","224,322","10,777","691,557","1,307,318","138,134","357,757","29,188"
21,                    Other selective sales,"87,704,230","1,053,607","170,311","831,973","605,172","8,743,437","1,669,213","1,542,002","252,599","196,463","3,516,002","1,736,259","742,119","173,217","5,065,013","2,091,252","514,451","403,528","1,405,701","1,828,089","284,994","3,501,720","1,513,824","2,192,864","3,117,152","876,556","1,162,833","240,444","94,962","2,009,386","538,200","2,334,781","489,257","8,815,002","1,796,117","215,022","2,047,503","394,327","959,860","3,941,054","376,304","795,938","202,588","1,691,933","8,546,116","506,964","499,559","2,280,145","2,264,298","678,243","758,232","37,644"
22,          Individual income,"384,689,168","3,751,172",0,"4,131,621","2,767,767","84,196,751","6,791,929","7,959,492","1,180,975","1,958,277",0,"10,977,693","2,095,601","1,660,248","13,256,769","6,566,828","3,758,601","2,328,898","5,845,085","2,949,939","1,534,866","14,402,977","14,724,277","9,949,167","10,956,205","1,798,856","6,559,185","1,180,344","2,228,486",0,"65,467","13,958,119","1,043,515","56,371,968","12,086,332","319,507","14,015,703","2,974,890","8,379,225","17,133,650","1,238,928","4,142,276",0,"249,977",0,"3,794,676","743,630","13,052,887",0,"1,813,866","7,792,543",0
23,          Corporate income,"52,805,140","520,113","87,775","374,941","396,989","10,112,520","528,543","897,247","252,752","554,245","2,383,783","971,898","184,840","216,641","2,877,499","1,025,498","432,020","386,966","639,254","291,321","175,239","1,001,934","2,196,474","1,195,399","1,227,028","407,913","382,873","124,821","264,440",0,"573,653","2,109,930","89,708","10,586,457","757,041","60,871","221,344","157,936","717,496","2,851,985","129,732","340,327","30,728","1,726,223",0,"326,592","111,186","826,961",0,"116,305","959,699",0
24,          Motor vehicle license,"28,157,945","239,816","65,477","218,511","158,446","4,317,538","615,339","235,105","57,982","38,935","1,374,140","364,255","380,497","196,917","1,769,356","339,993","657,374","253,768","222,542","86,882","109,912","501,360","438,855","1,236,380","802,839","158,099","304,208","165,339","200,385","213,455","102,438","667,056","214,013","1,582,156","921,064","120,119","930,145","732,063","553,183","928,512","26,788","259,488","112,043","473,276","2,587,655","205,613","76,924","666,230","669,356","4,344","507,862","93,912"
25,          Other taxes,"85,615,403","1,007,562","712,345","930,822","395,684","13,649,408","663,376","764,018","1,729,913","708,633","5,783,435","1,025,451","246,524","262,361","2,310,582","555,942","497,334","358,404","573,905","888,470","234,888","1,940,954","1,758,994","1,274,076","1,464,950","471,263","936,790","402,342","502,519","1,582,938","525,427","2,620,714","905,243","8,394,762","1,902,321","1,640,007","1,990,837","862,289","1,677,523","4,542,361","217,731","1,316,466","234,714","1,772,082","5,227,156","303,781","121,320","2,107,042","3,291,280","736,037","1,017,106","575,321"
26,     Charges and miscellaneous general revenue,"750,990,910","12,659,405","5,101,582","10,611,668","5,597,214","108,959,946","14,325,949","5,522,885","2,823,693","1,647,523","48,588,576","17,916,078","4,742,405","3,098,390","22,214,882","15,249,883","9,874,082","8,587,918","7,933,944","9,129,005","2,089,345","11,016,928","15,153,632","24,172,087","12,666,206","7,163,307","12,234,647","1,794,439","4,488,531","4,816,972","2,466,848","19,517,570","5,198,415","51,940,245","23,655,953","2,164,122","26,636,285","8,601,529","13,237,195","26,723,100","2,395,170","14,829,076","1,585,375","12,129,738","57,098,097","8,546,349","1,266,323","21,414,903","21,613,296","3,892,337","12,690,067","3,207,795"
27,          Current charges,"526,304,454","10,453,061","1,658,969","6,967,931","3,950,892","84,089,128","10,257,703","3,470,312","1,484,977","883,643","32,202,320","13,427,213","2,697,414","2,309,413","14,078,594","11,675,948","7,517,631","6,299,921","6,254,958","6,304,750","1,496,006","7,397,545","9,041,299","17,667,824","8,705,964","5,933,754","8,285,407","1,194,621","3,151,770","3,342,956","1,496,467","11,852,963","2,732,239","32,584,162","18,574,480","1,235,929","17,894,443","5,486,058","9,538,568","19,619,299","1,392,404","11,678,215","906,624","8,171,256","38,484,028","6,619,480","898,621","15,739,213","16,344,845","2,523,188","8,452,583","1,877,465"
28,               Education,"134,731,038","2,996,755","227,435","3,119,344","1,373,136","13,298,881","3,537,614","1,483,648","676,099","42,678","4,810,349","3,113,549","442,576","516,700","4,457,102","3,788,278","2,082,418","1,635,604","1,743,457","1,679,512","378,456","2,678,145","3,149,189","6,218,706","2,535,870","1,355,959","2,591,710","515,449","1,047,213","569,356","666,518","3,952,467","694,970","4,366,917","4,090,252","513,118","6,362,725","2,371,380","2,149,799","6,716,676","496,134","2,638,996","405,043","2,167,870","10,331,629","2,015,350","598,825","4,912,691","3,394,987","932,386","2,695,130","191,987"
29,                    Institutions  of higher education,"118,759,469","2,635,268","192,539","2,884,903","1,211,421","12,173,662","3,047,237","1,354,951","663,198","37,771","3,593,572","2,578,496","410,171","477,780","3,829,236","3,428,670","1,902,095","1,477,535","1,640,637","1,625,102","333,736","2,570,442","2,739,851","5,621,346","1,982,615","1,188,726","2,151,142","453,427","840,276","537,677","617,795","3,270,944","638,722","3,860,420","3,835,052","434,040","5,299,170","2,055,135","1,973,570","5,766,713","434,252","2,352,671","342,411","1,664,473","9,137,025","1,825,434","569,018","4,565,532","3,053,783","894,949","2,411,486","173,392"
30,                    School lunch sales (gross),"5,598,344","98,844","7,361","82,986","48,781","377,277","95,736","108,134","12,113",926,"201,264","163,300","23,671","23,130","203,089","187,907","112,916","82,246","57,102","26,076","28,946","95,922","192,481","158,802","189,706","42,092","130,225","18,422","67,586","21,384","35,643","246,724","21,446","242,473","158,409","33,067","235,235","67,519","38,974","272,433","18,074","67,425","32,021","84,958","610,703","60,141","14,876","216,205","105,258","11,939","151,310","15,086"
31,               Hospitals,"160,976,080","5,502,378","412,135","693,242","1,370,199","27,522,044","2,225,656","428,905","6,342","136,617","8,391,879","4,294,432","685,952","542,639","1,825,908","4,976,407","3,819,938","3,078,084","2,584,791","2,298,439","118,343","181,021","351,173","5,000,658","2,113,579","3,597,091","2,976,543","78,735","816,591","710,387","6,799","1,313,085","1,162,534","10,491,637","10,124,253","4,731","5,324,390","1,158,397","2,501,561","3,966,810","7,187","6,340,517","89,513","3,002,334","12,922,434","2,529,605",0,"5,111,683","4,774,612","291,805","1,860,088","1,251,997"
32,               Highways,"20,439,813","12,642","76,423","26,051","8,633","960,524","291,862","9,772","325,506",407,"2,120,520","66,056","4,634","46,576","1,322,227","9,089","8,176","131,071","62,623","30,271","152,687","762,276","1,013,838","144,084","214,111","6,829","30,358","25,951","34,372","8,649","152,940","2,166,713","13,665","4,530,282","57,544","22,591","335,154","272,837","96,924","1,332,867","44,130","136,086","10,875","2,367","2,165,296","11,208","2,932","335,793","557,309","107,359","172,786","5,937"
33,               Air transportation (airports),"24,413,256","121,591","192,599","488,679","77,640","3,933,049","953,253","26,951","6,921",0,"2,264,697","814,135","430,141","42,904","1,425,108","232,088","69,080","47,251","200,935","169,977","41,392","243,758","787,877","505,805","356,883","47,061","345,435","36,494","72,710","566,528","42,150","25,179","73,731","3,069,803","501,905","35,026","321,942","108,781","340,575","559,086","65,419","125,146","18,051","371,146","2,085,151","222,767","18,817","1,017,937","700,207","29,536","155,639","24,320"
34,               Parking facilities,"3,279,642","10,538","9,024","15,530","4,592","760,902","26,280","76,724","21,052","50,804","244,242","14,991","10,858",200,"57,654","12,323","25,525","6,105","28,068","13,470","11,384","136,869","51,601","77,264","95,285",917,"29,634","6,908","22,040","7,539","16,526","144,452","9,306","319,419","48,843","3,829","63,963","16,294","83,806","386,997","1,795","45,503","3,870","15,640","50,143","7,900","7,824","69,044","75,341","9,242","71,178",404
35,               Sea and inland port facilities,"5,766,120","125,872","80,954",0,"2,871","1,500,847",0,"1,347","37,303",0,"575,335","372,983","136,317","1,136","17,060","20,053",5,0,"20,748","198,034","4,325","50,634","121,541","3,286","14,245","47,748","2,837","1,860",0,0,0,"35,683",0,"316,523","41,320",0,"20,337","8,105","142,958","2,397","1,596","233,983",0,"3,003","503,528",0,0,"479,364","630,140",0,"9,842",0
36,               Natural resources,"5,477,546","6,399","26,728","117,790","27,484","2,270,889","65,485","33,283","1,468",0,"579,181","60,693","22,970","116,327","64,038","51,151","105,209","46,322","61,999","13,727","22,178","26,483","30,513","60,622","74,644","19,338","20,549","67,141","60,354","15,239","5,080","8,861","45,393","78,125","51,325","35,044","47,744","25,020","223,520","46,437","15,916","37,758","22,974","32,293","285,538","28,991","2,352","11,260","264,768","17,325","101,134","22,484"
37,               Parks and recreation,"11,513,306","166,372","24,762","154,142","69,651","1,590,634","414,898","103,041","19,756","33,020","799,867","301,091","47,405","53,058","1,136,858","177,711","113,930","90,750","129,823","236,714","37,337","184,894","158,571","205,238","348,589","38,147","169,096","22,860","42,325","165,508","61,784","221,623","34,329","732,004","230,258","101,329","364,397","125,106","288,108","254,916","48,394","169,334","31,760","134,123","582,888","169,205","23,936","259,793","289,151","72,640","255,461","26,719"
38,               Housing and community development,"7,191,799","114,892","49,561","29,373","32,164","883,178","210,203","137,101","13,537","60,624","265,286","138,558","34,130","39,671","228,252","48,141","26,601","47,130","40,105","59,833","41,791","188,078","356,064","63,613","314,086","41,440","61,023","12,508","44,507","33,020","43,487","188,937","18,020","1,240,058","175,842","13,517","192,365","58,434","79,024","287,645","52,622","53,066","10,158","103,163","288,081","29,944","18,345","166,938","420,271","26,089","95,349","15,974"
39,               Sewerage,"58,889,376","571,255","108,622","921,480","333,670","8,420,116","1,040,989","475,677","156,578","366,485","3,590,840","1,932,360","527,897","259,523","1,438,821","1,797,829","589,349","476,725","669,382","481,425","193,750","1,342,471","1,746,633","2,273,144","1,068,194","298,063","1,099,896","129,085","305,589","502,067","155,372","1,730,507","205,001","2,968,128","1,502,526","71,593","2,452,608","463,975","1,193,757","2,826,439","234,351","745,367","107,388","946,379","3,918,511","467,837","79,661","1,718,746","2,610,691","301,666","992,830","78,128"
40,               Solid waste management,"18,198,785","247,302","87,923","478,735","182,924","3,196,954","127,880","157,581","82,873","4,872","2,341,396","631,122","181,199","172,699","336,940","157,672","282,109","165,686","137,172","223,186","51,569","440,206","139,009","246,660","322,491","163,647","126,776","73,829","56,450","23,486","40,412","414,148","224,830","582,138","557,348","76,723","359,683","297,100","159,836","624,395","27,151","225,178","58,358","250,081","1,502,066","207,315","28,108","489,455","827,313","62,599","259,931","84,269"
41,               Other charges,"75,427,693","577,065","362,803","923,565","467,928","19,751,110","1,363,583","536,282","137,542","188,136","6,218,728","1,687,243","173,335","517,980","1,768,626","405,206","395,291","575,193","575,855","900,162","442,794","1,162,710","1,135,290","2,868,744","1,247,987","317,514","831,550","223,801","649,619","741,177","305,399","1,651,308","250,460","3,889,128","1,193,064","358,428","2,049,135","580,629","2,278,700","2,614,634","397,709","927,281","148,634","1,142,857","3,848,763","929,358","117,821","1,166,509","1,800,055","672,541","1,783,215","175,246"
42,          Miscellaneous general revenue,"224,686,456","2,206,344","3,442,613","3,643,737","1,646,322","24,870,818","4,068,246","2,052,573","1,338,716","763,880","16,386,256","4,488,865","2,044,991","788,977","8,136,288","3,573,935","2,356,451","2,287,997","1,678,986","2,824,255","593,339","3,619,383","6,112,333","6,504,263","3,960,242","1,229,553","3,949,240","599,818","1,336,761","1,474,016","970,381","7,664,607","2,466,176","19,356,083","5,081,473","928,193","8,741,842","3,115,471","3,698,627","7,103,801","1,002,766","3,150,861","678,751","3,958,482","18,614,069","1,926,869","367,702","5,675,690","5,268,451","1,369,149","4,237,484","1,330,330"
43,               Interest earnings,"47,866,446","317,452","1,037,212","1,055,610","274,305","5,040,475","982,117","697,740","110,981","69,419","1,750,841","538,800","167,831","162,867","2,041,060","1,043,550","303,308","492,326","393,390","637,059","168,478","604,107","1,209,214","1,347,720","803,051","162,243","967,852","190,431","266,107","263,183","380,067","1,316,711","791,505","4,859,847","855,567","401,003","1,693,465","442,749","658,927","1,711,905","354,756","526,090","245,135","1,054,397","4,645,041","490,820","110,516","1,111,684","1,111,177","358,774","909,562","738,019"
44,               Special assessments,"9,863,768","22,244","5,892","53,347","27,205","2,489,708","327,529","29,975","26,327","2,155","2,839,364","78,627","40,706","29,569","518,532","19,479","26,838","126,761","12,888","11,485","7,258","86,892","9,535","186,106","349,266","7,760","101,822","75,460","31,825","115,519","2,133","6,289","14,962","139,417","20,530","133,063","323,466","24,335","93,905","109,457","4,881","56,530","17,226","157,405","442,593","51,461","3,517","56,544","449,426","15,746","70,369","10,439"
45,               Sale of property,"4,309,653","79,469","404,849","257,619","15,696","611,634","84,703","16,037","10,339","1,145","268,386","118,936","6,039","95,055","13,269","67,634","49,281","48,692","64,214","17,382","7,421","17,493","17,328","93,742","37,120","42,422","63,118","12,086","20,394","106,463","7,640","118,724","11,152","131,129","100,382","11,328","77,038","36,833","49,798","130,424","1,375","95,418","12,510","63,535","285,417","88,883","15,124","49,037","236,979","11,427","72,926","54,608"
46,               Other general revenue,"162,646,589","1,787,179","1,994,660","2,277,161","1,329,116","16,729,001","2,673,897","1,308,821","1,191,069","691,161","11,527,665","3,752,502","1,830,415","501,486","5,563,427","2,443,272","1,977,024","1,620,218","1,208,494","2,158,329","410,182","2,910,891","4,876,256","4,876,695","2,770,805","1,017,128","2,816,448","321,841","1,018,435","988,851","580,541","6,222,883","1,648,557","14,225,690","4,104,994","382,799","6,647,873","2,611,554","2,895,997","5,152,015","641,754","2,472,823","403,880","2,683,145","13,241,018","1,295,705","238,545","4,458,425","3,470,869","983,202","3,184,627","527,264"
47,Utility revenue,"168,931,368","3,148,188","417,680","5,039,383","1,003,233","30,039,345","3,037,609","806,979","485,832","957,342","9,556,677","4,680,097","431,177","235,489","5,295,150","2,779,987","1,194,620","1,553,822","1,820,969","1,195,751","156,608","1,137,202","3,918,842","3,281,226","2,431,463","817,800","2,583,567","153,550","4,333,569","1,295,040","136,882","2,188,911","624,728","15,713,429","4,383,180","245,929","3,145,746","2,014,920","1,675,409","2,975,460","243,605","3,904,458","348,623","8,980,180","14,516,414","2,037,895","254,797","2,056,268","7,044,067","280,819","2,125,944","245,507"
48,     Water supply,"65,622,088","974,401","113,190","1,532,069","511,014","14,322,318","1,723,087","353,924","91,294","168,529","4,403,255","1,942,340","372,626","155,019","2,979,490","952,255","576,148","687,176","798,644","505,977","129,203","868,961","1,561,986","1,732,794","674,976","291,656","839,824","150,217","284,823","1,095,532","119,481","903,598","375,253","2,785,264","1,509,221","218,766","1,891,619","860,053","814,984","1,525,653","212,271","949,095","134,824","1,221,364","6,724,178","659,245","85,164","1,284,951","1,454,994","252,890","695,909","150,583"
49,     Electric power,"80,453,831","1,788,262","298,003","3,329,630","485,843","13,105,100","1,004,469","381,748","371,996",0,"4,591,385","1,855,537",0,"77,078","1,213,415","1,467,243","532,234","827,404","701,378","574,026","13,574","79,883","1,406,620","1,469,168","1,540,449","428,318","1,549,171","1,246","3,741,513","114,122","12,319","177,265","182,021","6,117,942","2,659,817","23,714","1,072,522","1,112,946","719,367","193,054","7,909","2,698,918","203,002","6,653,547","7,276,525","1,308,579","164,489","439,043","5,017,193","14,759","1,355,901","94,184"
50,     Gas supply,"5,981,292","380,296",0,"43,272","2,879","301,286","147,942","16,636",0,0,"233,014","704,170",0,0,"83,245","317,572","58,556","33,813","294,364","83,230",0,"5,108","49,390",0,"87,567","95,967","117,023",0,"300,055",0,0,0,"51,879","8,864","138,884",213,"50,086","31,764",627,"597,153",0,"235,089","10,733","1,061,101","238,370","11,597",0,"181,748","6,378",225,"1,196",0
51,     Transit,"16,874,157","5,229","6,487","134,412","3,497","2,310,641","162,111","54,671","22,542","788,813","329,023","178,050","58,551","3,392","1,019,000","42,917","27,682","5,429","26,583","32,518","13,831","183,250","900,846","79,264","128,471","1,859","77,549","2,087","7,178","85,386","5,082","1,108,048","15,575","6,801,359","75,258","3,236","131,519","10,157","140,431","659,600","23,425","21,356",64,"44,168","277,341","58,474","5,144","150,526","565,502","12,945","72,938",740
52,Liquor store revenue,"9,794,954","335,417","9,880",0,0,0,0,0,0,0,0,0,0,"164,153",0,0,"306,174",0,0,0,"178,990","298,493",0,"1,082,256","299,672","349,534",0,"96,514",0,0,"686,141",0,0,0,"831,550",0,"1,102,485",0,"595,077","2,012,789",0,0,"17,851",0,0,"380,544","64,126","779,038",0,"93,039",0,"111,231"
53,Insurance trust revenue2,"631,991,138","6,429,325","2,236,967","9,517,163","4,705,547","132,291,606","7,071,055","7,673,647","1,301,824","1,038,725","26,536,589","13,566,465","2,666,624","2,920,221","24,228,998","4,496,274","5,365,956","3,770,164","5,915,428","8,969,575","2,041,404","8,701,983","14,134,400","15,732,634","12,117,324","4,960,002","11,079,425","2,063,135","2,493,940","6,408,994","1,655,271","14,211,161","4,313,237","67,412,474","13,311,893","1,353,336","28,233,498","5,304,198","12,227,724","19,308,513","1,854,411","6,137,070","1,791,271","16,908,475","39,463,310","3,252,767","779,900","12,475,978","16,406,687","2,854,266","11,020,535","1,279,769"
54,     Unemployment compensation,"40,546,814","232,044","165,568","504,468","261,312","6,082,473","694,052","806,210","115,304","176,957","865,033","752,629","173,609","164,990","2,174,192","576,597","512,212","269,441","526,712","237,625","130,001","606,014","1,495,705","1,372,847","629,244","139,999","510,802","103,993","95,990","614,288","77,109","2,426,328","260,832","3,007,589","1,090,624","168,360","1,237,566","253,680","1,041,423","3,153,660","261,398","391,461","42,543","322,860","2,581,939","223,759","151,097","544,548","1,247,657","196,779","805,218","70,073"
55,     Employee retirement,"567,052,646","6,197,281","2,066,214","9,012,695","4,424,860","117,135,791","5,710,431","6,830,891","1,177,606","861,768","25,517,066","12,706,642","2,493,015","2,536,777","22,003,477","3,913,160","4,853,744","3,500,723","5,157,019","8,503,308","1,900,442","7,972,141","12,148,704","14,344,483","11,409,014","4,814,740","10,466,768","1,735,627","2,397,888","5,794,706","1,578,162","11,045,760","4,021,992","61,274,634","12,221,269","941,025","24,688,666","5,050,518","10,483,861","15,912,883","1,377,612","5,663,824","1,748,715","16,585,615","35,656,247","3,010,714","628,803","11,928,487","12,093,645","2,486,733","10,206,277","860,223"
