Year,State,Parks and recreation,Insurance trust expenditure,Water supply,Judicial and legal,Correction,Unemployment compensation,Highways,Education,Financial administration,Other insurance trust,Electric power,Housing and community development,Interest on general debt,Libraries,Miscellaneous commercial activities,Solid waste management,Workers' compensation,Public welfare,Natural resources,Other governmental administration,General public buildings,Sewerage,Employee retirement,Health,Protective inspection and regulation,Parking facilities,Air transportation (airports),Utility expenditure,Gas supply,Sea and inland port facilities,Fire protection,Transit,Other and unallocable,Hospitals,Police protection,Employment security administration,Veterans' services,Liquor store expenditure
2021,Vermont,84154,2303591,100101,112568,149604,383936,736130,3028299,123524,0,151775,233931,145144,23934,36399,42315,0,2067037,140516,110394,32580,99724,1919655,454841,56347,4352,40751,283113,0,0,88923,31238,728466,23202,282678,2785,965,76318
2021,Rhode Island,65790,2433384,205580,152089,225503,661153,679650,3847397,245058,196765,8011,265906,516987,40169,2849,100330,774,3462660,90784,351945,92639,169358,1574692,697340,44485,1950,54831,338298,0,2831,338097,124707,942125,185473,494698,35158,0,0
2021,New Mexico,299770,3789787,466656,378630,806699,1151908,1264176,7310823,455084,0,149825,214773,626314,34892,4757,243946,0,8367446,369309,285102,155027,244527,2637879,612507,65039,11689,85022,780408,49684,0,301155,114243,1704427,1862930,751505,9604,4380,0
2021,Maine,94296,1563370,132091,128617,264201,471502,1120321,4240908,383784,0,15626,352919,299609,47182,10802,123194,0,4237922,157411,167930,103078,276913,1091868,327512,57650,6128,58187,189961,50,3924,204903,42194,762069,165285,353116,87148,254,160607
2021,North Carolina,1267661,9354308,1549605,1001200,2234429,2515041,5264605,30108563,1624472,0,2136773,2013437,1976671,258214,16717,916751,0,19482932,836807,1481482,517104,1227859,6839267,4612106,374093,48510,952109,4615069,133116,75757,1191220,795575,2766238,13853434,3797811,258581,40058,957019
2021,Kansas,363265,3094017,703739,389975,571907,958517,2013339,11121333,457655,0,750839,240128,612512,152424,17514,180068,1837,5408464,259431,521770,213574,517368,2133663,911737,87620,5449,100450,1537339,29511,0,403640,53250,1312365,4283570,1147771,108718,14743,0
2021,Louisiana,801717,6252174,610672,663532,906027,1395998,2367766,13936814,781732,49244,480916,584457,1140912,192976,51228,380688,57730,14628144,1093135,600008,115573,571968,4749202,1079029,123150,15938,310109,1401675,77622,382157,773619,232465,2422601,3038934,1595832,199338,10251,0
2021,Ohio,1637520,21141572,1970127,1926678,2220011,3574534,6015776,37732776,1844659,0,1139493,2271021,3610919,566483,71920,622942,347965,35010370,517220,1531078,537339,2593728,17219073,3736985,327766,53793,386654,3826606,41846,22894,2091648,675140,4035534,7317598,3919693,238394,24507,1367441
2021,New Jersey,645469,20476793,940506,1607094,2016762,7663947,4339329,39983949,1545208,521753,126172,1484361,3352131,343549,931,1068134,214230,22206553,687439,655815,412524,1699301,12076863,2352638,530352,65775,33121,4959339,0,64328,964798,3892661,10897300,2955539,4216327,263332,11756,0
2021,Nebraska,313322,1595185,449783,206380,595559,255247,1883882,8170888,279540,0,3868028,270180,379058,79993,11006,148612,445,3784047,304845,235551,80702,372327,1339493,393791,82883,15271,74305,4593649,222136,0,318214,53702,1751953,795187,556345,65995,5035,0
2021,Mississippi,259983,3722846,396304,307668,556131,587434,1867396,8832248,556689,0,371705,355344,531703,40263,9350,220959,0,6627471,321128,294180,104739,278094,3135412,571908,93165,2699,75952,886577,85725,56865,340617,32843,808161,4262782,791351,39426,25524,508466
2021,Idaho,219256,1563794,144665,261547,492724,235729,1298527,4250439,424702,0,77376,279725,255624,66310,6377,211952,151161,3765679,317583,182969,171398,260125,1176904,354402,87926,316,85546,252565,18,1160,267729,30507,609863,950987,534533,4327,0,182000
2021,Arizona,787023,6964681,1816253,1045356,1877085,1708018,2940447,20429954,574379,0,3378269,674739,1325766,196534,11799,507593,0,20930578,537893,863217,217305,762044,5256663,1445542,226430,10591,743162,6166554,39234,0,1492456,932798,1618939,1046821,2895752,130391,27698,0
2021,Hawaii,314123,2828159,468499,308221,221229,1912968,974276,3616893,447832,0,0,422169,402665,35368,694,281243,0,3633165,168975,413859,118726,539576,915191,785560,76734,6638,713358,1242973,0,66552,284719,774474,2886377,504209,578710,7324,0,0
2021,Washington,1474169,12497059,1994326,1302214,2153289,4524756,4934902,30591774,973633,0,5490380,1750613,3090187,561598,138213,852733,2332988,15752233,1366794,775635,206306,2406452,5639315,5483158,627224,19052,1007579,11530146,5674,579906,1890426,4039766,3960787,7702196,2687422,294913,24875,0
2021,Colorado,1990691,10222718,2274708,997969,1491360,3142871,3602457,20124726,1298601,2531,1034258,1588173,2644202,288556,86975,179347,387786,11895546,701214,1406537,458099,1405838,6689530,1501224,140356,37945,1480684,4550613,144693,0,2142636,1096954,2850488,3615046,2438962,105841,5328,0
2021,Utah,645935,2440128,965051,428024,614483,580737,2531099,12644560,723904,0,1107422,560411,534570,125131,49198,236886,12694,5472554,442629,592076,450375,524990,1846697,1345702,106391,87,884684,2676651,10611,0,424872,593567,1835100,3111264,890595,12300,3453,334517
2021,Alabama,497057,5071119,1021038,443292,927482,1037641,2552445,16520150,749791,0,1803871,612762,1166590,134891,13831,383727,0,8021380,229879,561895,120459,487143,4033478,1015805,175248,18730,197190,3264326,360335,156277,566469,79082,2032542,8141766,1450860,108199,12058,440937
2021,Georgia,986937,15156980,2366905,1578251,2120035,4741187,5159270,32239247,1428803,218333,2466696,1111433,1535459,192237,50412,888705,0,14586326,599630,851552,603525,1522265,10197460,2656635,156550,9657,862345,6678442,835444,715387,1462497,1009397,5232979,6150112,3222875,54531,13696,0
