,Description,United States Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
15,               General sales,"417,433,420","5,219,656","249,131","11,095,721","4,745,203","56,367,297","7,907,355","4,370,749",0,"1,493,101","32,239,713","9,749,111","3,774,325","1,799,703","14,409,569","7,795,091","3,618,584","4,473,609","3,600,612","8,777,486","1,529,113","4,716,179","6,490,305","9,595,949","6,084,322","3,557,752","6,855,122",0,"2,322,086","5,874,769",0,"10,459,419","3,246,313","31,845,558","11,020,541","1,152,339","14,656,009","5,105,561",748,"11,866,049","1,048,957","4,078,886","1,486,235","10,630,100","44,260,473","3,842,415","411,629","5,539,134","20,054,317","1,370,955","5,869,688","776,481"
16,               Selective sales,"200,817,685","3,199,028","381,770","2,351,520","1,558,425","23,968,653","2,954,859","3,185,327","602,985","443,422","12,834,769","4,589,000","1,409,194","640,841","10,724,459","4,569,030","1,681,126","1,467,624","2,908,542","2,943,813","727,392","5,851,309","2,971,718","5,073,024","5,030,520","1,586,690","2,459,931","664,993","678,831","3,247,423","1,032,584","5,114,955","911,635","14,153,397","4,731,181","512,463","6,464,453","1,491,207","2,243,909","10,617,673","665,457","2,000,510","512,737","3,528,927","17,659,461","1,477,554","751,977","5,169,300","6,432,854","1,498,275","2,935,062","205,898"
17,                    Motor fuel,"49,972,799","742,095","47,149","869,183","492,954","6,351,756","675,962","487,327","131,864","26,268","3,614,594","1,801,798","176,032","362,234","1,519,042","1,420,135","671,937","461,075","702,651","631,641","250,468","1,084,195","769,144","1,473,002","936,893","444,398","717,894","258,958","373,889","628,330","183,366","458,892","230,303","1,636,749","1,974,782","196,649","1,912,897","485,276","571,230","3,375,429","79,858","646,581","187,462","1,086,693","3,710,307","557,490","125,282","1,072,947","1,713,782","419,558","1,110,775","113,622"
18,                    Alcoholic beverage,"7,438,327","266,882","45,257","76,378","64,295","381,670","46,989","63,211","26,556","6,560","293,098","343,430","51,383","10,143","365,960","51,578","22,183","142,126","145,648","78,302","19,647","31,682","85,843","165,758","97,599","40,883","38,932","36,502","31,230","45,340","12,828","142,459","25,450","282,727","489,358","8,819","119,262","122,247","18,404","437,923","19,918","180,561","19,171","437,306","1,321,516","7,959","26,969","231,250","370,738","25,599","60,878","1,920"
19,                    Tobacco products,"19,730,455","211,660","92,475","312,808","226,728","2,428,121","195,450","376,814","123,026","27,956","1,172,492","224,910","120,386","51,141","913,277","418,810","212,469","130,247","228,749","163,782","132,950","372,724","594,173","920,907","593,410","139,733","109,491","80,530","57,123","177,161","212,698","660,315","78,368","1,188,143","292,143","28,001","941,154","313,411","263,860","1,372,695","146,691","27,199","59,158","248,673","1,440,336","116,727","71,078","219,021","422,264","177,840","619,101","22,076"
20,                    Public utilities,"27,570,455","834,927","17,180","226,448","157,112","3,974,164","162,509","261,184","56,755","179,065","4,454,394","378,888","236,213","41,321","2,485,169","262,513","255,726","231,021","419,253","174,482","27,744","605,403",0,"90,254","157,639","61,179","370,403","44,497","113,165","316,479","52,758","1,038,090","85,490","1,731,356",322,"67,220","945,791","142,211","301,654","1,170,966","59,651","97,509","14,155","101,614","1,919,211","237,304","11,055","1,117,971","1,345,186","145,445","360,149","30,261"
21,                    Other selective sales,"96,105,648","1,143,464","179,709","866,703","617,336","10,832,942","1,873,949","1,996,791","264,784","203,573","3,300,190","1,839,973","825,180","176,002","5,441,011","2,415,994","518,811","503,155","1,412,241","1,895,607","296,583","3,757,304","1,522,558","2,423,103","3,244,979","900,497","1,223,210","244,506","103,425","2,080,113","570,934","2,815,199","492,024","9,314,422","1,974,576","211,774","2,545,349","428,062","1,088,761","4,260,660","359,339","1,048,660","232,792","1,654,641","9,268,091","558,074","517,593","2,528,111","2,580,883","729,832","784,159","38,019"
22,          Individual income,"429,819,656","4,042,499",0,"4,545,242","2,866,175","95,152,230","7,510,366","9,724,449","1,652,335","2,066,842",0,"11,643,781","2,430,032","1,835,864","17,282,737","9,522,723","4,001,869","3,414,656","5,958,647","3,246,226","1,605,096","14,915,321","16,280,331","10,718,144","11,882,330","1,852,937","6,927,265","1,304,315","2,360,596",0,"105,759","15,037,845","1,071,125","65,299,911","12,609,608","367,635","14,500,100","3,260,447","8,879,552","18,161,803","1,329,152","4,432,104",0,"246,508",0,"4,661,910","819,330","14,105,766",0,"1,950,571","8,237,522",0
23,          Corporate income,"56,871,269","577,516","196,321","378,845","390,756","12,488,304","782,679","770,941","261,252","574,745","2,426,900","1,004,298","146,831","240,809","3,319,420","698,725","443,187","437,967","932,074","358,208","185,737","1,033,175","2,408,947","971,032","1,357,004","437,407","411,480","175,954","313,690",0,"790,011","2,235,653","111,297","9,846,103","742,512","107,277","273,236","234,817","897,853","2,942,508","118,118","404,164","32,376","1,644,159",0,"460,657","110,819","1,165,610",0,"110,068","919,826",0
24,          Motor vehicle license,"29,834,732","245,669","57,864","232,068","164,617","4,686,466","679,243","238,351","58,969","39,514","1,449,604","395,140","407,787","204,624","1,648,547","370,696","683,414","249,921","225,203","82,846","112,744","501,417","444,827","1,337,873","813,067","158,283","311,158","177,302","204,902","198,263","82,270","657,956","217,013","1,574,134","954,311","118,353","880,399","743,776","552,979","1,183,964","29,352","303,655","114,332","518,900","2,713,279","225,495","72,971","588,572","1,254,931","4,513","548,454","114,746"
25,          Other taxes,"91,467,933","984,249","1,066,091","863,705","416,175","13,673,053","812,428","701,894","1,859,210","729,060","5,981,947","886,203","266,634","236,418","2,475,199","617,825","468,174","372,312","552,161","935,905","247,169","1,983,232","1,962,739","1,329,130","1,547,733","471,372","927,563","430,122","557,235","1,736,133","592,433","2,452,267","1,238,446","8,527,440","1,874,545","2,237,160","1,964,586","1,147,143","1,705,909","4,976,672","238,570","1,418,852","254,313","1,844,077","7,261,140","314,479","130,188","2,180,310","3,537,207","894,288","918,837","667,999"
26,     Charges and miscellaneous general revenue,"788,426,554","13,259,866","4,270,325","10,719,039","5,595,319","119,560,676","15,119,891","5,573,695","2,836,317","1,643,222","49,783,524","19,512,178","4,135,169","3,168,072","22,965,226","16,547,214","10,246,975","8,741,422","8,110,403","9,190,536","2,191,856","11,330,717","15,776,100","24,773,741","13,783,140","7,087,011","12,380,996","1,798,680","4,416,141","5,063,680","2,543,824","20,135,256","5,804,081","53,093,903","25,131,282","2,701,373","28,072,087","9,003,153","14,000,666","28,639,081","2,471,468","15,274,386","1,703,465","12,451,352","61,070,627","9,304,960","1,303,478","23,414,000","22,832,543","3,874,682","12,746,835","3,272,922"
27,          Current charges,"548,848,115","10,867,738","1,640,571","7,061,500","3,987,782","91,029,693","10,514,902","3,579,849","1,548,941","833,598","32,695,583","14,834,062","2,527,188","2,333,351","14,318,577","12,802,920","7,832,243","6,386,204","6,320,521","6,230,221","1,532,116","7,531,862","9,343,521","18,095,057","8,885,126","6,024,740","8,158,931","1,193,973","3,091,434","3,582,613","1,528,092","11,683,699","2,750,059","33,320,497","19,808,859","1,273,703","18,649,072","5,819,193","9,978,578","21,204,012","1,477,291","11,959,374","931,240","8,442,205","40,436,163","7,006,267","877,421","16,963,246","16,998,021","2,539,183","8,510,461","1,906,664"
28,               Education,"137,730,362","3,153,426","219,761","3,202,192","1,414,934","13,826,954","3,691,457","1,506,318","729,389","42,066","4,712,004","3,153,670","429,212","518,168","4,328,230","3,925,419","2,128,888","1,674,257","1,739,732","1,680,885","388,234","2,723,010","3,170,670","6,317,178","2,606,548","1,390,012","2,552,126","523,063","1,110,829","572,915","664,803","3,990,507","639,820","4,290,814","4,248,713","513,674","6,275,867","2,467,486","2,218,963","7,229,307","513,873","2,718,952","413,414","2,117,524","10,972,962","2,143,892","575,148","4,832,019","3,522,448","934,102","2,804,135","210,394"
29,                    Institutions  of higher education,"121,774,060","2,784,790","191,114","2,961,265","1,251,887","12,675,923","3,170,718","1,390,879","715,929","37,194","3,540,689","2,615,463","397,594","477,600","3,711,198","3,591,220","1,942,743","1,520,510","1,641,459","1,634,955","344,888","2,621,145","2,768,510","5,731,413","2,035,565","1,226,872","2,104,627","462,477","901,995","540,261","615,299","3,303,892","581,548","3,804,791","3,993,907","438,066","5,222,753","2,158,141","2,032,544","6,313,818","452,536","2,437,371","347,936","1,618,948","9,768,692","1,954,133","547,026","4,502,916","3,084,781","901,485","2,511,163","191,431"
30,                    School lunch sales (gross),"5,507,318","102,533","7,005","84,523","49,697","373,304","96,458","94,391","12,642",998,"169,249","161,336","23,409","24,570","203,452","185,864","113,474","81,825","51,137","22,362","27,108","90,184","207,957","154,375","192,316","40,578","133,000","18,207","68,175","21,337","36,120","251,543","21,952","229,526","156,541","34,847","232,136","63,985","42,155","270,394","17,630","67,691","32,518","83,310","587,035","58,927","15,910","205,978","110,975","9,250","151,998","15,431"
31,               Hospitals,"169,852,799","5,838,505","437,600","585,570","1,379,943","29,189,605","2,287,453","466,795","4,976","114,166","8,780,763","5,366,756","452,557","550,230","1,993,339","5,681,562","4,069,954","3,091,575","2,630,310","2,296,797","114,748","180,498","392,220","5,044,904","1,943,790","3,644,016","2,769,455","81,203","632,892","748,610","5,963","1,094,236","1,200,350","11,563,443","11,031,397","4,497","5,765,196","1,288,426","2,676,198","4,281,654","3,415","6,481,860","96,262","3,189,660","13,423,317","2,576,963",33,"5,593,818","5,262,453","282,820","1,993,921","1,266,126"
32,               Highways,"21,649,019","14,032","75,772","26,441","8,187","835,454","402,707","15,864","324,709",671,"2,153,454","86,342","4,769","43,182","1,419,671","9,921","6,341","136,779","82,591","37,128","149,789","761,091","1,099,102","140,704","201,433","20,545","53,419","30,133","46,426","10,444","145,693","2,176,224","13,273","4,615,240","60,539","14,916","343,367","318,562","133,177","1,435,303","46,692","145,898","10,810","2,178","2,159,625","14,209","2,294","969,981","549,472","100,814","182,515","11,134"
33,               Air transportation (airports),"25,017,687","101,221","203,530","452,056","81,005","4,174,016","966,001","24,359","7,722",0,"2,268,842","835,940","483,411","44,100","1,466,616","217,718","74,761","47,462","215,740","174,857","43,522","262,740","853,758","513,657","367,963","42,443","344,446","30,344","67,745","699,776","39,937","26,224","81,188","2,830,790","584,788","28,170","308,558","116,865","338,911","608,998","71,853","104,219","19,838","398,609","2,187,579","233,644","21,123","1,006,483","722,463","31,645","159,321","30,729"
34,               Parking facilities,"3,175,503","11,040","9,101","17,196","4,332","684,905","29,663","78,868","21,651","5,187","231,658","16,192","10,967",528,"49,048","17,995","26,449","6,301","29,185","12,922","12,852","135,843","53,724","74,901","97,743","1,023","29,929","7,124","24,952","8,313","17,955","143,359","9,355","333,530","48,316","3,825","66,380","17,401","89,563","372,907","1,844","46,883","4,128","15,458","50,743","7,721","8,360","72,917","72,728","8,585","73,626",328
35,               Sea and inland port facilities,"5,653,684","134,936","75,285",0,"3,066","1,431,133",0,862,"39,804",0,"565,657","426,382","157,984","1,073",0,"17,294",0,0,"20,863","211,480","3,547","58,600","133,769","2,225","35,974","51,220",0,"1,636",0,0,0,"33,124",0,"309,543","46,300",0,"17,004","5,921","96,376","18,627","1,645","252,013",0,"3,133","555,329",0,0,"521,098","413,767",0,"7,015",0
36,               Natural resources,"5,655,887","7,563","26,850","208,100","21,762","2,230,186","66,358","33,736","1,343",0,"554,185","62,863","24,297","103,615","115,829","52,679","116,045","45,653","82,710","14,300","31,733","25,132","32,033","87,022","67,100","24,508","11,488","63,615","55,942","19,623","5,769","3,579","38,665","69,969","60,164","34,884","74,397","40,542","290,228","42,707","15,864","35,883","18,910","29,770","194,760","43,941","2,533","11,036","291,280","35,953","106,566","22,215"
37,               Parks and recreation,"11,446,962","134,463","22,847","178,479","80,058","1,524,868","359,147","102,279","21,223","31,501","777,996","283,205","51,915","52,772","1,139,568","188,301","107,942","95,893","126,522","241,713","37,925","176,331","156,005","181,853","351,049","38,698","191,583","23,399","43,967","172,030","64,105","204,779","36,950","808,401","231,785","78,251","372,511","126,347","304,163","239,286","49,299","170,376","34,118","135,224","562,286","184,804","26,960","273,142","295,156","74,971","254,852","25,665"
38,               Housing and community development,"7,181,564","86,688","47,896","27,982","30,019","871,383","159,372","163,144","14,771","56,666","235,311","135,190","34,941","51,990","206,475","51,254","23,627","39,851","32,893","49,710","41,137","186,833","425,404","52,097","334,486","34,471","37,663","12,376","24,768","32,985","44,239","232,664","17,966","1,276,288","162,724","15,347","180,500","38,943","98,584","245,149","56,595","55,449","10,385","107,111","374,039","26,890","17,986","176,246","376,509","33,761","116,915","15,892"
39,               Sewerage,"61,394,896","575,265","111,592","936,538","335,095","9,331,468","967,529","467,717","165,589","400,678","3,731,193","2,047,362","521,271","252,422","1,324,496","2,038,164","600,881","485,880","694,360","507,805","205,601","1,363,380","1,773,219","2,183,751","1,201,037","303,311","1,160,861","142,206","312,835","528,829","151,020","1,710,213","211,570","2,844,898","1,505,915","73,668","2,595,769","485,896","1,222,524","3,312,393","235,204","741,513","116,772","947,115","4,057,663","464,105","78,742","1,747,166","2,824,242","279,581","1,040,640","77,951"
40,               Solid waste management,"18,653,717","232,954","88,764","493,222","172,580","3,253,615","129,039","167,249","81,680","6,198","2,360,153","643,042","175,030","179,015","371,344","158,167","272,224","160,574","124,811","235,881","51,261","446,351","128,796","251,164","353,520","164,438","120,540","71,725","53,002","24,467","42,345","421,968","232,488","556,714","592,039","80,588","345,204","297,653","172,324","705,263","25,530","237,611","57,836","305,024","1,596,638","202,623","25,981","473,371","921,245","58,922","248,783","82,759"
41,               Other charges,"81,436,036","577,645","321,574","933,725","456,799","23,676,106","1,456,177","552,658","136,084","176,465","6,324,367","1,777,117","180,834","536,256","1,903,960","444,446","405,133","601,979","540,804","766,743","451,768","1,212,053","1,124,819","3,245,600","1,324,482","310,054","887,421","207,150","718,075","764,620","346,263","1,646,822","268,435","3,820,867","1,236,178","425,883","2,304,319","615,152","2,337,568","2,712,418","455,477","968,718","148,767","1,191,399","4,301,223","1,107,474","118,261","1,285,970","1,746,259","698,028","1,522,172","163,470"
42,          Miscellaneous general revenue,"239,578,439","2,392,129","2,629,754","3,657,539","1,607,536","28,530,983","4,604,989","1,993,846","1,287,376","809,624","17,087,941","4,678,116","1,607,981","834,721","8,646,649","3,744,294","2,414,731","2,355,218","1,789,882","2,960,315","659,741","3,798,854","6,432,579","6,678,685","4,898,014","1,062,272","4,222,064","604,707","1,324,708","1,481,067","1,015,731","8,451,557","3,054,023","19,773,406","5,322,423","1,427,670","9,423,015","3,183,960","4,022,088","7,435,069","994,178","3,315,011","772,225","4,009,147","20,634,465","2,298,693","426,057","6,450,755","5,834,522","1,335,500","4,236,373","1,366,258"
43,               Interest earnings,"55,002,422","477,221","1,012,070","939,906","312,743","6,276,611","1,258,064","751,438","124,486","98,929","1,959,072","638,080","261,139","168,792","2,309,894","1,287,053","329,721","457,142","460,407","628,103","178,458","705,878","1,334,120","1,396,232","912,725","192,129","1,088,625","201,639","274,572","409,500","435,936","1,383,899","811,388","4,978,610","1,022,856","873,392","2,195,187","447,575","815,952","1,730,856","381,899","557,935","261,167","1,129,219","5,856,428","644,706","119,315","1,196,216","1,693,533","282,951","918,153","820,502"
44,               Special assessments,"10,615,342","22,557","10,385","61,802","23,065","2,992,732","333,120","24,441","28,593","2,394","2,951,207","108,701","25,249","30,630","512,682","11,532","29,738","128,850","11,481","15,639","8,461","114,208","7,804","219,497","344,505","11,160","95,079","79,282","35,150","145,699",833,"6,403","11,423","137,399","23,231","145,684","293,763","21,928","85,016","75,565","6,631","53,219","16,758","153,302","456,390","49,346","5,130","64,847","541,326","14,745","59,401","7,362"
45,               Sale of property,"4,150,641","72,951","501,125","143,441","22,458","433,630","86,740","18,561","4,628","21,984","226,974","136,779",794,"80,299","12,566","84,073","53,536","46,870","55,845","11,895","8,111","21,039","25,291","103,890","74,583","29,152","65,046","11,232","11,950","29,563","7,013","90,511","13,407","80,063","117,532","10,347","115,119","29,160","66,958","180,011","2,228","47,777","13,270","53,204","370,988","103,824","16,887","57,820","259,069","6,806","107,018","6,622"
46,               Other general revenue,"169,810,034","1,819,400","1,106,173","2,512,390","1,249,271","18,828,010","2,927,065","1,199,406","1,129,669","686,317","11,950,688","3,794,556","1,320,799","555,000","5,811,508","2,361,635","2,001,736","1,722,356","1,262,149","2,304,677","464,711","2,957,729","5,065,364","4,959,066","3,566,201","829,831","2,973,315","312,554","1,003,036","896,305","571,949","6,970,744","2,217,805","14,577,335","4,158,805","398,247","6,818,946","2,685,296","3,054,162","5,448,637","603,419","2,656,081","481,030","2,673,421","13,950,658","1,500,817","284,725","5,131,872","3,340,594","1,030,998","3,151,801","531,773"
47,Utility revenue,"174,989,052","2,967,737","440,810","5,315,156","987,566","32,740,830","2,996,540","825,545","478,693","988,874","10,749,403","4,719,597","432,971","255,998","4,991,163","3,001,741","1,172,647","1,579,094","1,879,268","1,270,850","146,003","1,172,662","3,952,178","3,148,773","2,715,689","806,096","2,736,311","175,996","4,346,523","1,383,296","129,247","2,163,903","635,137","16,193,962","4,404,339","288,604","3,320,116","2,021,152","1,839,698","2,993,000","244,085","3,633,768","360,501","9,262,864","14,887,800","1,966,910","229,001","2,104,390","7,263,395","234,359","2,168,674","266,138"
48,     Water supply,"69,703,176","875,262","109,662","1,669,464","483,513","17,072,817","1,615,679","370,077","96,559","188,351","4,996,825","1,939,768","371,856","173,130","2,778,646","1,064,378","602,459","692,947","783,381","521,404","116,434","894,805","1,548,680","1,668,861","759,668","289,283","1,014,218","173,914","300,696","1,179,883","111,409","903,524","379,097","2,562,824","1,480,175","260,226","2,049,947","902,332","882,230","1,471,611","212,605","915,667","155,398","1,224,546","7,176,162","687,179","75,356","1,344,225","1,441,649","208,768","736,653","168,975"
49,     Electric power,"81,634,627","1,732,319","324,468","3,466,007","496,791","13,093,772","1,042,657","378,108","361,646",0,"5,241,906","1,766,549",0,"79,876","1,185,830","1,533,655","479,624","842,196","739,359","610,861","14,000","88,255","1,465,281","1,393,865","1,742,068","421,461","1,532,606",0,"3,705,156","116,446","12,720","176,049","190,786","6,348,191","2,687,499","23,984","1,090,404","1,059,288","816,850","213,511","8,231","2,452,229","195,024","6,865,389","7,182,507","1,211,169","148,969","401,460","5,227,308","13,130","1,358,800","96,367"
50,     Gas supply,"6,302,597","354,654",741,"43,338","3,814","246,670","168,724","19,869",0,0,"203,084","837,735",0,0,"30,598","361,069","63,426","38,730","330,817","106,712",0,"6,366","51,376",0,"96,397","93,915","113,657",0,"332,886",0,0,0,"48,736","10,508","171,696",870,"38,685","49,990",627,"613,829",0,"249,097","10,031","1,130,305","255,319","6,929",0,"204,187","6,990",219,0,0
51,     Transit,"17,348,653","5,502","5,939","136,347","3,448","2,327,571","169,480","57,491","20,488","800,523","307,587","175,546","61,115","2,991","996,088","42,639","27,138","5,221","25,712","31,874","15,569","183,236","886,841","86,048","117,556","1,437","75,829","2,082","7,784","86,967","5,118","1,084,330","16,517","7,272,440","64,968","3,523","141,079","9,542","139,991","694,049","23,249","16,775",48,"42,625","273,812","61,633","4,677","154,519","587,448","12,242","73,222",795
52,Liquor store revenue,"10,154,551","350,913","5,953",0,0,0,0,0,0,0,0,0,0,"172,845",0,0,"320,530",0,0,0,"187,149","296,899",0,"1,123,653","346,434","360,281",0,"99,100",0,0,"693,160",0,0,0,"806,398",0,"1,186,823",0,"625,794","2,066,562",0,0,"12,755",0,0,"403,667","67,064","812,979",0,"97,399",0,"118,194"
53,Insurance trust revenue2,"613,758,715","6,166,977","1,800,654","9,436,102","4,024,270","122,095,184","12,488,017","5,401,600","1,318,074","1,487,650","24,326,858","13,746,115","2,072,505","2,632,017","26,813,308","4,755,128","4,485,818","3,117,250","5,311,856","7,273,066","1,831,493","8,350,642","14,489,814","16,359,163","13,854,922","3,923,890","10,245,932","3,864,287","2,615,142","5,726,900","1,515,254","13,433,449","3,341,379","60,767,770","11,045,694","1,213,050","31,378,804","4,461,060","11,236,760","23,244,259","1,671,305","5,596,640","1,306,140","10,881,360","38,912,095","4,937,577","608,246","6,722,945","18,042,108","2,164,708","19,507,074","1,756,405"
54,     Unemployment compensation,"38,812,752","241,274","150,471","526,490","222,536","6,011,447","629,222","763,731","103,698","171,251","661,942","689,234","187,428","171,138","2,028,957","533,764","475,845","295,319","438,014","235,035","124,085","554,516","1,631,280","1,348,882","800,715","124,619","422,373","116,810","90,200","683,970","79,678","2,329,888","164,338","2,655,391","734,714","173,501","1,213,196","271,436","1,084,033","3,047,910","237,504","374,309","35,761","300,517","2,663,503","206,945","144,145","479,807","1,212,860","207,539","683,618","77,913"
55,     Employee retirement,"549,310,769","5,925,703","1,645,529","8,909,612","3,782,218","106,485,524","11,183,475","4,601,623","1,205,462","1,316,399","23,428,995","12,950,940","1,885,077","2,226,325","24,735,500","4,215,326","4,009,973","2,819,278","4,609,875","6,810,861","1,696,447","7,672,298","12,325,809","14,994,977","12,979,776","3,794,152","9,720,739","3,527,741","2,524,890","5,042,930","1,435,576","10,348,595","3,146,628","55,053,863","10,310,980","828,757","28,229,966","4,189,624","9,436,451","19,950,425","1,222,278","5,146,211","1,270,373","10,580,843","34,958,830","4,714,064","464,101","6,240,008","12,689,941","1,844,326","18,814,416","1,407,060"
