F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129
Description,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local
,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV
,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
Description,c1,c2,c6,c7,c11,c12,c16,c17,c21,c22,c26,c27,c31,c32,c36,c37,c41,c42,c46,c47,c51,c52,c56,c57,c61,c62,c66,c67,c71,c72,c76,c77,c81,c82,c86,c87,c91,c92,c96,c97,c101,c102,c106,c107,c111,c112,c116,c117,c121,c122,c126,c127
            Revenue1,"53,926,206",0.29,"9,965,767",0.09,"23,204,450",0.44,"25,296,262",0.47,"12,445,892",0.51,"106,468,656",0.27,"24,177,457",0.05,"337,829,812",0.07,"91,423,378",0.18,"12,335,260",0.38,"121,449,002",0.23,"35,103,140",0.23,"49,207,592",0.17,"131,826,544",0.19,"12,357,380",0.07,"46,795,744",0.14,"7,526,089",0.16,"56,248,062",0.36,"235,372,235",0.23,"27,977,602",0.30,"7,615,232",0.41,"78,617,973",0.15,"82,524,930",0.25,"17,382,828",0.29,"58,953,454",0.20,"11,242,016",0.16
General revenue1,"44,676,855",0.24,"8,631,339",0.09,"17,295,057",0.52,"20,771,498",0.58,"10,840,106",0.58,"96,319,232",0.29,"21,547,712",0.05,"285,711,974",0.08,"80,672,729",0.18,"11,054,458",0.43,"99,590,893",0.28,"30,473,063",0.19,"40,192,325",0.19,"113,985,312",0.17,"11,157,475",0.07,"40,150,417",0.14,"6,457,372",0.18,"43,696,347",0.30,"206,358,139",0.25,"22,964,850",0.34,"7,069,378",0.43,"68,965,853",0.17,"66,901,707",0.29,"15,855,713",0.31,"48,109,746",0.23,"9,808,691",0.18
Intergovernmental revenue1,"11,233,812",0.08,"2,662,498",0.06,"3,319,637",0.63,"4,516,652",2.63,"2,141,204",0.09,"18,599,171",0.12,"7,217,530",0.03,"58,210,472",0.05,"20,639,096",0.23,"1,869,844",0.28,"24,781,272",0.18,"7,465,975",0.24,"10,799,926",0.21,"25,665,770",0.17,"2,911,850",0.14,"9,600,110",0.41,"1,636,966",0.19,"11,354,137",0.20,"41,310,297",0.11,"4,710,420",0.27,"2,220,959",0.06,"11,142,434",0.53,"14,526,628",0.26,"4,633,105",0.24,"9,769,697",0.29,"3,117,824",0.23
     From Federal Government,"11,233,812",0.08,"2,662,498",0.06,"3,319,637",0.63,"4,516,652",2.63,"2,141,204",0.09,"18,599,171",0.12,"7,217,530",0.03,"58,210,472",0.05,"20,639,096",0.23,"1,869,844",0.28,"24,781,272",0.18,"7,465,975",0.24,"10,799,926",0.21,"25,665,770",0.17,"2,911,850",0.14,"9,600,110",0.41,"1,636,966",0.19,"11,354,137",0.20,"41,310,297",0.11,"4,710,420",0.27,"2,220,959",0.06,"11,142,434",0.53,"14,526,628",0.26,"4,633,105",0.24,"9,769,697",0.29,"3,117,824",0.23
     From State government1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
     From local governments1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
General revenue from own sources,"33,443,043",0.32,"5,968,841",0.14,"13,975,420",0.63,"16,254,846",0.09,"8,698,902",0.73,"77,720,061",0.36,"14,330,182",0.08,"227,501,502",0.10,"60,033,633",0.23,"9,184,614",0.51,"74,809,621",0.36,"23,007,088",0.25,"29,392,399",0.25,"88,319,542",0.21,"8,245,625",0.07,"30,550,307",0.14,"4,820,406",0.23,"32,342,210",0.40,"165,047,842",0.31,"18,254,430",0.43,"4,848,419",0.62,"57,823,419",0.17,"52,375,079",0.37,"11,222,608",0.42,"38,340,049",0.27,"6,690,867",0.23
    Taxes,"22,021,237",0.41,"4,175,377",0.15,"9,505,534",0.58,"11,852,611",0.02,"6,213,217",1.01,"59,660,949",0.46,"8,642,216",0.11,"172,384,785",0.12,"38,158,325",0.30,"6,959,163",0.30,"50,788,902",0.26,"14,702,562",0.36,"17,554,485",0.26,"62,646,694",0.22,"5,694,178",0.08,"16,686,751",0.19,"3,269,129",0.23,"21,446,186",0.41,"113,315,727",0.42,"10,979,754",0.21,"3,630,728",0.83,"37,367,164",0.22,"34,198,797",0.37,"7,523,539",0.10,"26,834,807",0.30,"3,656,470",0.19
          Property,"5,881,407",1.19,"1,556,324",0.40,"3,512,964",1.53,"2,773,856",0.09,"4,093,508",1.54,"27,505,043",0.99,"1,605,608",0.35,"52,860,075",0.31,"9,565,377",1.12,"908,388",2.19,"14,292,200",0.64,"2,606,054",0.47,"5,637,382",0.78,"18,417,452",0.53,"2,469,875",0.16,"5,476,778",0.53,"1,164,503",0.62,"5,693,601",1.43,"47,683,753",0.96,"2,898,044",0.63,"1,591,491",1.89,"12,700,823",0.58,"10,099,229",1.01,"1,615,258",0.41,"9,282,567",0.84,"1,345,753",0.49
          Sales and gross receipts,"8,194,521",0.65,"611,280",0.04,"2,773,292",0.18,"7,443,875",0.00,"973,230",0.00,"13,136,137",0.06,"4,079,974",0.18,"41,853,603",0.28,"13,774,877",0.29,"2,207,616",0.04,"19,686,989",0.19,"6,287,501",0.81,"1,984,494",0.60,"19,747,291",0.01,"1,647,723",0.03,"5,649,216",0.11,"1,765,209",0.13,"11,909,929",0.27,"57,209,828",0.23,"3,997,788",0.34,"1,047,544",0.12,"9,312,703",0.28,"20,912,397",0.36,"2,718,310",0.03,"8,131,649",0.20,"1,211,253",0.06
               General sales,"5,855,131",0.80,0,0.00,"2,160,251",0.20,"4,708,528",0.00,0,0.00,"9,146,025",0.00,"3,239,574",0.23,"28,685,915",0.41,"9,456,459",0.39,"1,634,612",0.05,"14,155,382",0.26,"4,772,018",1.06,0,0.00,"10,638,307",0.00,"959,513",0.00,"4,051,614",0.05,"1,332,169",0.18,"8,698,001",0.31,"41,075,616",0.30,"2,613,356",0.43,"378,654",0.33,"5,139,562",0.34,"15,769,132",0.44,"1,309,904",0.02,"5,278,478",0.30,"988,990",0.02
               Selective sales,"2,339,390",1.10,"611,280",0.04,"613,041",0.42,"2,735,347",0.00,"973,230",0.00,"3,990,112",0.18,"840,400",0.11,"13,167,688",0.05,"4,318,418",0.34,"573,004",0.02,"5,531,607",0.07,"1,515,483",0.23,"1,984,494",0.60,"9,108,984",0.03,"688,210",0.07,"1,597,602",0.37,"433,040",0.02,"3,211,928",0.57,"16,134,212",0.20,"1,384,432",0.55,"668,890",0.03,"4,173,141",0.45,"5,143,265",0.51,"1,408,406",0.05,"2,853,171",0.14,"222,263",0.31
