,Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
25,          Other taxes,"82,757,300",0.17,"1,046,667",1.74,"743,724",0.04,"689,270",1.98,"429,236",0.17,"10,960,965",1.08,"873,224",1.97,"737,293",0.16,"1,519,875",0,"757,107",0,"5,225,252",0.95,"713,222",1.06,"217,280",0,"249,032",1.81,"2,282,689",0.56,"502,520",0.3,"456,911",0.33,"393,508",0.5,"639,174",0.35,"1,240,332",0.38,"238,692",0.24,"1,745,723",0.21,"1,886,313",0.2,"1,142,070",0.5,"1,385,985",0.22,"604,360",0.32,"914,018",1.59,"494,383",0.05,"438,636",0.72,"1,461,330",0.03,"351,272",0.17,"2,553,302",0.45,"1,129,881",0.13,"8,299,699",0.31,"1,602,262",0.36,"2,996,402",0.2,"1,901,629",0.65,"1,045,866",0.17,"1,374,360",0.69,"4,275,658",0.59,"164,889",1.44,"1,197,155",0.75,"240,545",0.52,"1,688,695",0.28,"5,972,341",0.29,"380,756",0.59,"99,677",0.21,"2,003,048",0.97,"2,579,842",0.48,"1,066,250",0.35,"846,725",0.45,"998,255",0.17
26,     Charges and miscellaneous general revenue,"698,606,615",0.15,"12,357,280",0.42,"4,778,175",0.22,"9,775,329",0.42,"4,846,121",0.5,"93,758,308",0.92,"12,597,969",0.69,"5,505,192",0.22,"2,676,985",0,"1,818,986",0,"45,994,160",0.39,"16,075,408",0.46,"3,752,547",0,"3,144,683",0.36,"20,378,342",0.59,"14,337,941",1.1,"11,162,439",0.75,"7,824,820",0.84,"7,470,970",0.28,"9,612,526",0.15,"1,986,304",0.53,"10,686,656",0.12,"13,972,553",0.2,"21,914,189",0.86,"12,152,944",1.1,"6,694,120",0.41,"11,421,806",0.49,"1,793,464",0.28,"4,469,886",1.52,"4,402,235",0.35,"2,485,685",0.15,"18,059,112",0.29,"5,687,966",0.09,"55,116,717",0.23,"21,875,308",0.34,"2,225,451",1.88,"24,020,719",0.98,"8,304,526",0.25,"11,837,914",0.47,"25,672,848",0.46,"2,551,447",0.15,"13,863,556",0.21,"1,551,277",0.52,"10,896,024",0.89,"51,732,115",0.34,"7,274,676",1.02,"1,217,691",0.26,"20,456,255",0.27,"18,176,282",0.8,"3,699,069",1.26,"11,505,242",0.59,"3,034,397",0.46
27,          Current charges,"477,589,303",0.16,"9,787,576",0.51,"1,520,398",0.69,"6,577,442",0.6,"3,363,673",0.66,"70,029,779",0.8,"8,970,225",0.85,"3,430,053",0.33,"1,553,566",0,"797,539",0,"30,630,730",0.41,"11,882,945",0.59,"2,408,420",0,"2,383,991",0.46,"12,934,971",0.9,"10,739,249",1.45,"6,729,719",1.24,"5,520,802",1.15,"5,619,894",0.35,"5,619,515",0.16,"1,396,312",0.69,"7,094,967",0.16,"8,348,505",0.32,"15,935,245",1.16,"8,154,212",1.59,"5,652,189",0.47,"7,597,546",0.68,"1,100,387",0.37,"3,181,381",2.1,"3,095,711",0.34,"1,414,358",0.2,"11,152,531",0.4,"2,631,910",0.12,"31,202,949",0.38,"16,850,444",0.43,"1,257,195",3.32,"16,578,825",1.24,"5,161,887",0.32,"8,738,860",0.62,"18,463,678",0.64,"1,494,235",0.25,"10,887,393",0.25,"856,537",0.89,"7,703,512",1.24,"34,429,226",0.44,"5,400,952",1.19,"836,854",0.32,"14,773,364",0.34,"13,902,594",1,"2,411,659",0.32,"7,717,897",0.87,"1,665,501",0.79
28,               Education,"123,753,671",0.02,"2,742,215",0,"218,706",0.03,"2,719,903",0,"1,006,031",0,"10,268,614",0,"3,163,645",0,"1,425,689",0.05,"792,344",0,"36,322",0,"4,575,391",0,"2,892,517",0,"429,654",0,"509,101",0,"4,170,307",0,"3,665,570",0,"1,914,792",0,"1,487,135",0,"1,628,753",0,"1,515,957",0,"365,832",0.05,"2,530,707",0,"2,876,810",0.1,"5,827,139",0,"2,379,074",0,"1,255,302",0,"2,533,769",0,"489,813",0,"954,388",0,"534,976",0,"649,647",0,"3,781,631",0.01,"683,058",0,"4,125,389",0.61,"3,757,565",0.19,"480,916",0,"6,125,230",0,"2,245,721",0,"2,122,883",0,"6,761,378",0,"484,737",0,"2,412,220",0,"377,556",0,"2,057,955",0.33,"9,249,777",0.01,"1,699,102",0,"542,862",0,"4,561,828",0.09,"3,149,014",0,"885,869",0,"2,498,389",0,"190,488",0
29,                    Institutions  of higher education,"108,326,454",0.02,"2,383,523",0,"185,684",0,"2,503,390",0,"850,094",0,"9,138,613",0,"2,694,611",0,"1,282,001",0,"778,127",0,"31,798",0,"3,407,132",0,"2,394,280",0,"398,447",0,"471,261",0,"3,609,101",0,"3,336,658",0,"1,738,000",0,"1,338,000",0,"1,512,636",0,"1,450,718",0,"318,268",0,"2,407,456",0,"2,534,048",0,"5,266,896",0,"1,872,130",0,"1,072,218",0,"2,123,304",0,"427,519",0,"756,553",0,"495,122",0,"601,713",0,"3,139,025",0,"623,085",0,"3,619,318",0.7,"3,500,669",0.17,"406,830",0,"5,052,531",0,"1,937,635",0,"1,936,576",0,"5,861,128",0,"413,039",0,"2,130,036",0,"319,343",0,"1,583,678",0,"8,100,950",0,"1,607,547",0,"515,323",0,"4,231,961",0,"2,744,603",0,"834,798",0,"2,217,440",0,"171,638",0
30,                    School lunch sales (gross),"5,611,741",0.1,"101,181",0,"7,308",0.66,"84,562",0,"49,648",0,"365,301",0,"89,420",0,"121,093",0.58,"13,340",0,672,0,"219,576",0,"163,785",0,"22,473",0,"22,873",0,"200,948",0,"181,946",0,"110,507",0,"81,526",0,"73,500",0,"39,194",0,"27,341",0.54,"93,633",0,"158,332",0.61,"157,318",0,"181,038",0,"44,456",0,"129,701",0,"18,246",0,"65,965",0,"24,260",0,"35,409",0,"236,070",0.11,"23,006",0,"252,208",0,"166,687",2.13,"31,182",0,"228,159",0,"72,044",0,"38,517",0,"289,307",0,"18,658",0,"72,377",0,"29,809",0,"84,346",3.05,"622,415",0,"53,443",0,"16,343",0,"214,188",1.65,"99,547",0,"16,425",0,"147,496",0,"14,962",0
31,               Hospitals,"143,628,284",0.31,"5,128,186",0.73,"365,595",2.38,"717,192",0.04,"1,221,311",1.62,"23,321,436",0.99,"1,899,482",1.52,"387,300",0,"5,485",0,"140,867",0,"7,439,711",0.2,"4,077,494",1.01,"629,561",0,"594,965",0.01,"1,685,509",4.04,"4,534,265",3.29,"3,302,199",2.49,"2,567,222",2.43,"2,156,440",0.17,"2,086,851",0.12,"131,039",0.1,"199,700",0,"319,202",0,"4,057,500",3.61,"1,951,933",5.93,"3,427,557",0.51,"2,573,034",1.39,"85,565",0.01,"1,027,879",5.36,"623,324",0,"5,980",0,"1,258,617",0,"1,147,486",0.05,"10,612,180",0.6,"9,015,432",0.64,"6,498",0.26,"4,503,606",2.91,"1,107,498",0.54,"2,300,316",1.91,"3,237,823",0.05,"8,596",0,"5,993,745",0.31,"77,839",0.01,"2,726,082",3.04,"11,506,558",1.05,"1,901,948",3.16,0,0,"4,722,648",0.01,"3,813,180",2.08,"374,581",0.02,"1,587,697",1.37,"1,062,170",0.81
32,               Highways,"17,834,059",0.19,"12,108",20.07,"84,580",0.3,"24,863",2.18,"10,415",0.12,"759,558",2.83,"280,534",0.97,"9,440",0.14,"295,339",0,0,0,"1,782,922",0.12,"39,381",0.82,"4,623",0,"33,128",0.89,"1,067,557",0.2,"10,790",3,"3,979",3.87,"119,043",0.49,"63,317",0.59,"49,088",0.49,"136,510",0.19,"732,052",0,"931,503",0,"147,752",4.58,"126,925",3.12,"15,850",0,"32,337",3.03,"25,155",0.18,"34,734",4.57,"7,482",1.85,"164,509",0.01,"1,987,562",0.01,"14,989",0,"3,989,601",0.01,"40,362",1.33,"25,998",0.28,"318,563",0.63,"261,715",0,"78,974",6.06,"1,146,347",0.15,"42,738",0,"69,186",0,"11,190",1.21,"2,989",17.48,"1,788,058",1.25,"3,445",5.93,"3,712",5.06,"296,231",0,"473,931",0.45,"99,147",0.07,"160,357",2.76,"13,490",0.28
33,               Air transportation (airports),"21,760,229",0.28,"109,911",5,"156,295",0.02,"482,887",0.31,"75,305",2.46,"3,186,088",0.84,"778,216",0.22,"39,598",2.67,"7,908",0,0,0,"2,051,680",1.36,"582,807",0.34,"357,018",0,"38,523",0.3,"1,294,403",1.64,"207,998",0.46,"67,710",0.69,"45,522",0.28,"191,514",0.51,"158,036",0.03,"36,519",0.71,"224,104",0,"696,220",0,"497,793",0.92,"319,087",0.37,"45,416",4.85,"352,558",0.45,"32,289",0.25,"59,923",1.99,"540,041",0,"47,149",0,"23,806",0.84,"76,447",0.05,"2,871,730",0.15,"468,718",0.35,"25,298",1.17,"288,087",4.5,"102,684",1.39,"290,341",0.39,"561,857",5.22,"53,523",0,"102,325",1.8,"16,092",0.65,"353,721",3.62,"1,888,557",0.69,"196,789",0.19,"19,554",0,"949,675",1.48,"596,720",0.7,"28,283",3.53,"144,375",1.08,"19,129",28.46
34,               Parking facilities,"3,004,054",1.63,"10,161",0,"1,233",9.85,"12,974",0.12,"3,694",4.67,"709,859",6.34,"23,511",22.61,"75,516",0.15,"17,578",0,"40,583",0,"205,052",7.04,"16,338",0.9,"10,705",0,187,0,"59,885",4.09,"10,980",0.37,"23,835",0.01,"6,331",0,"29,466",0,"7,945",0,"10,443",1.29,"130,383",0.16,"45,017",4,"87,157",1.57,"89,051",0,188,0,"30,134",0.02,"6,138",0,"17,927",0,"6,652",0,"13,807",0,"130,333",5.13,"8,721",0,"313,704",1.31,"43,163",1.98,"3,069",0.23,"46,055",1.85,"16,234",0,"64,446",1.05,"341,677",2.13,"2,102",0,"40,324",1.04,"3,587",0,"14,429",0.27,"38,345",0.04,"7,207",0,"6,877",0.06,"78,844",0.49,"60,327",0,"9,201",0.43,"72,679",1.43,0,0
35,               Sea and inland port facilities,"5,251,895",1.26,"289,772",0,"72,226",2.49,0,0,"3,810",0.94,"1,372,124",2.09,0,0,"1,346",0.28,"40,492",0,0,0,"494,902",1.13,"356,496",0,"116,877",0,"1,134",82.32,"10,353",8.36,"17,672",0.38,13,8.42,0,0,"14,046",72.23,"184,008",0.25,"3,831",24.41,"55,911",0,"99,697",1.42,"2,625",8.44,"18,637",0.08,"37,120",2.87,"1,797",10.94,"1,219",84.52,0,0,0,0,0,0,"27,759",0.51,0,0,"298,504",0.04,"36,856",0,0,0,"25,669",17.19,"8,447",0.75,"78,842",1.16,"12,199",0.59,"1,355",0,"197,430",0.02,0,0,"2,923",0,"432,276",0.48,0,0,0,0,"441,925",0.01,"482,524",12.06,0,0,"9,078",2.52,0,0
36,               Natural resources,"4,520,120",3.44,"8,011",1.14,"26,358",0,"133,153",20.5,"25,185",0.66,"1,530,248",9.14,"80,403",4.98,"33,846",0.12,"1,393",0,0,0,"493,977",4.73,"55,153",0.14,"18,212",0,"99,259",5.83,"63,172",10.55,"50,794",0.47,"96,285",0.46,"45,772",1.84,"54,239",0.27,"27,750",0.06,"21,651",7.12,"19,829",2.23,"24,236",0.29,"66,797",1.86,"79,489",0,"16,944",3.01,"19,614",9.37,"32,078",6.52,"62,044",9.83,"17,025",8.28,"5,418",2.02,"10,915",2.67,"29,804",5.18,"81,790",0,"51,948",1.26,"79,695",51.91,"36,152",2.36,"29,314",3.57,"204,295",3.73,"61,547",2.12,"16,434",0.18,"31,658",0.22,"26,504",24.5,"28,512",0.34,"216,615",3.28,"25,267",11.25,"3,247",1.92,"13,163",0.71,"209,012",16.27,"26,898",0.26,"108,866",9.21,"20,149",5.54
37,               Parks and recreation,"10,618,165",0.85,"166,174",0.89,"15,712",0.86,"153,166",1.18,"77,591",3.21,"1,714,043",3.31,"335,256",9.26,"103,964",0.65,"13,921",0,"28,608",0,"737,534",3.2,"231,952",1.88,"43,570",0,"48,208",0.91,"1,019,430",4.47,"163,401",1.38,"105,147",1.81,"84,015",0.27,"124,000",0.82,"212,042",0.57,"30,569",2.53,"199,831",0.83,"148,467",2.93,"203,902",2.65,"281,680",1.5,"59,949",2.61,"146,417",3.57,"22,125",0.59,"43,253",1.24,"144,084",0.04,"45,481",0.86,"243,324",3.65,"34,261",0.94,"697,710",1.54,"197,617",2.53,"65,831",7.45,"271,550",4.95,"112,618",4.31,"230,113",2.64,"189,028",4.47,"42,846",0,"156,123",7.39,"31,544",0.48,"115,056",5.29,"537,406",3.28,"134,463",3.9,"22,898",0.86,"258,549",1.87,"257,530",2.76,"63,954",2.36,"229,178",1.31,"23,074",5.79
38,               Housing and community development,"6,620,226",1.44,"85,630",3.7,"61,401",0.04,"30,787",3.06,"29,436",7.78,"872,781",9.28,"153,668",11.48,"141,081",7.06,"17,219",0,"27,900",0,"223,327",6,"112,242",4.93,"30,900",0,"28,357",5.53,"193,790",4.41,"47,651",5.4,"20,332",4.5,"43,301",10.53,"41,107",3.41,"68,517",3.21,"35,197",6.27,"209,279",0.33,"387,902",5.63,"82,820",4.47,"301,791",4.04,"31,825",8.19,"54,346",2.79,"11,128",8.49,"48,551",13.84,"23,081",44.1,"30,581",0.13,"293,010",2.05,"14,765",2.07,"1,102,764",0.01,"140,796",5.23,"11,915",6.97,"131,671",9.43,"46,869",3.16,"62,813",12.55,"250,183",7.7,"48,835",4.47,"55,226",9.91,"10,009",7.94,"93,142",6.21,"312,116",3.67,"20,271",4.98,"17,541",2.01,"138,221",0.42,"304,526",2.78,"26,042",6.36,"89,704",4.73,"3,879",0.12
39,               Sewerage,"54,096,648",0.56,"506,632",3.64,"106,418",1.23,"920,885",1.87,"297,557",1.6,"7,379,995",2.83,"931,482",5.51,"448,294",0.67,"162,344",0,"312,768",0,"3,338,047",2.84,"1,441,519",1.37,"460,776",0,"229,835",3.81,"1,467,870",4.68,"1,562,407",2.39,"565,270",1.73,"433,939",0.34,"596,281",2.26,"437,159",1.73,"160,004",5.16,"1,205,223",0.87,"1,678,189",0.7,"2,025,410",1.73,"1,075,131",3.42,"264,508",5.33,"930,353",2.29,"108,139",2.33,"249,877",1.64,"478,327",0.35,"141,577",1.43,"1,672,729",2.5,"186,554",0.55,"2,812,947",0.82,"1,405,712",2.71,"62,084",1.23,"2,325,743",1.32,"409,583",2.35,"1,068,164",1.96,"2,801,897",3.64,"216,831",0,"661,806",1.86,"95,517",1.85,"927,954",3.01,"3,843,909",1.19,"391,093",3.8,"75,450",1.97,"1,569,424",1.25,"2,364,158",3.43,"281,772",1.94,"935,618",1.28,"71,487",2.8
40,               Solid waste management,"17,183,131",0.79,"204,481",4.31,"82,832",0.94,"467,053",1.39,"174,267",3.04,"2,928,736",3.61,"115,578",2.74,"187,599",1.6,"78,494",0,"5,144",0,"2,236,389",1.79,"617,558",3.1,"156,830",0,"153,903",1.12,"300,551",5.09,"150,717",5.95,"263,584",2.29,"148,811",4.96,"125,034",4.03,"209,460",1.4,"51,704",4.57,"422,990",0.47,"138,998",2.87,"239,900",3.15,"285,953",3.28,"149,661",6.79,"116,262",5.66,"67,616",2.56,"44,533",4.56,"26,229",0.63,"33,118",2.06,"470,925",0.84,"211,386",0.89,"563,142",2.52,"536,489",2.17,"75,430",0.69,"345,835",3.11,"272,681",3.28,"132,261",0.8,"641,511",6.52,"26,174",0,"209,979",3.39,"51,214",1.74,"256,906",5.02,"1,424,964",2.41,"190,191",1.5,"25,952",7.43,"455,142",4.2,"748,784",2.06,"47,619",8.77,"233,407",6.29,"79,154",3.62
41,               Other charges,"69,318,821",0.71,"524,295",4.74,"329,042",1.64,"914,579",2.32,"439,071",1.24,"15,986,297",2.59,"1,208,450",2.62,"576,380",0.49,"121,049",0,"205,347",0,"7,051,798",0.7,"1,459,488",3.34,"149,694",0,"647,391",0.29,"1,602,144",2.15,"317,004",7.84,"366,573",1.66,"539,711",1.55,"595,697",1.38,"662,702",0.24,"413,013",0.71,"1,164,958",0.3,"1,002,264",0.78,"2,696,450",3.98,"1,245,461",3.46,"347,869",2.73,"806,925",3.62,"219,122",0.35,"638,272",5.67,"694,490",0.05,"277,091",0.61,"1,251,920",0.64,"224,439",0.8,"3,733,488",2.42,"1,155,786",1.31,"420,461",0.31,"2,160,664",7.08,"548,523",1.09,"2,105,412",0.93,"2,458,231",0.7,"550,064",0.54,"957,371",0.78,"155,485",2.18,"1,123,843",2.81,"3,190,645",2.02,"831,176",2.02,"118,761",0.77,"1,287,714",3.09,"1,442,888",2.86,"568,293",0.37,"1,648,549",3.6,"182,481",4.07
42,          Miscellaneous general revenue,"221,017,312",0.32,"2,569,704",0.57,"3,257,777",0.06,"3,197,887",0.32,"1,482,448",0.68,"23,728,529",2.78,"3,627,744",1.12,"2,075,139",0.18,"1,123,419",0,"1,021,447",0,"15,363,430",0.84,"4,192,463",0.57,"1,344,127",0,"760,692",0.37,"7,443,371",0.45,"3,598,692",0.55,"4,432,720",0.26,"2,304,018",0.68,"1,851,076",0.3,"3,993,011",0.29,"589,992",0.77,"3,591,689",0.16,"5,624,048",0.15,"5,978,944",0.57,"3,998,732",0.8,"1,041,931",0.72,"3,824,260",0.53,"693,077",0.44,"1,288,505",0.96,"1,306,524",0.85,"1,071,327",0.24,"6,906,581",0.41,"3,056,056",0.13,"23,913,768",0.17,"5,024,864",0.38,"968,256",0.45,"7,441,894",1.54,"3,142,639",0.41,"3,099,054",0.43,"7,209,170",0.25,"1,057,212",0.07,"2,976,163",0.26,"694,740",0.35,"3,192,512",0.58,"17,302,889",0.48,"1,873,724",1.97,"380,837",0.45,"5,682,891",0.37,"4,273,688",0.91,"1,287,410",3.57,"3,787,345",0.26,"1,368,896",0.35
43,               Interest earnings,"50,195,097",0.2,"433,855",1.52,"819,958",0.12,"762,157",0.67,"258,342",3.12,"4,425,542",1.69,"935,591",1.44,"688,888",0.17,"114,425",0,"51,831",0,"1,759,270",0.86,"670,910",1.41,"79,944",0,"155,636",1.08,"1,999,248",0.42,"1,171,306",0.35,"2,440,722",0.12,"417,879",1.03,"580,192",0.47,"793,444",0.36,"175,700",0.7,"635,419",0.12,"1,279,147",0.11,"1,433,913",1.16,"1,026,910",2.53,"172,223",2.1,"985,068",0.46,"239,956",0.18,"279,040",0.58,"219,639",0.49,"398,440",0.36,"1,442,788",0.48,"919,500",0.19,"4,871,479",0.37,"737,627",0.45,"429,922",0.12,"1,697,493",1.64,"476,469",0.44,"544,227",1.18,"1,711,421",0.54,"381,061",0.01,"617,396",0.27,"241,817",0.12,"574,098",1.64,"5,523,029",0.72,"375,999",0.86,"115,002",0.27,"1,246,170",0.7,"934,385",0.39,"213,883",0.2,"902,243",0.48,"834,493",0.36
44,               Special assessments,"7,955,318",2.05,"17,802",14.16,"6,281",1.26,"44,125",9.73,"21,675",14.38,"1,591,791",6.08,"204,732",11.05,"33,767",4.76,"20,540",0,0,0,"2,521,158",4.36,"54,066",3.51,"28,881",0,"35,641",4.03,"440,848",0.3,"17,455",21.22,"20,010",20.96,"131,901",2.31,"10,502",8.37,"22,966",2.23,"8,838",11.48,"36,179",0.62,"13,479",18.29,"198,677",8.68,"337,099",2.97,"10,581",24.09,"92,739",5,"74,029",3.75,"39,032",10.42,"65,141",0.74,"1,804",17.52,"2,051",7.48,"16,782",11.68,"135,309",7.04,"15,569",7.8,"113,505",1.1,"244,586",6.47,"26,341",19.8,"62,477",9.25,"75,737",7.54,"4,202",0,"44,688",0.85,"13,869",6.12,"111,862",4.04,"341,655",4.45,"79,736",23.14,"4,056",7.88,"56,630",3.83,"389,676",8.37,"35,011",131.21,"63,558",3.96,"16,279",19.04
45,               Sale of property,"4,279,042",14.61,"113,296",2.92,"282,484",0,"168,141",0.51,"31,449",6.27,"1,181,701",52.86,"101,916",10.84,"17,869",2.68,"7,922",0,0,0,"220,384",2.92,"65,897",8.31,448,0,"75,007",1.39,"9,017",6.55,"57,870",2.51,"29,468",5.94,"17,691",10.42,"49,669",5.99,"17,222",1.94,"5,477",8.77,"14,425",8.95,"119,508",0.42,"80,325",2.04,"45,522",2.43,"26,461",8.91,"48,611",3.89,"18,839",1.08,"14,446",13.15,"27,166",0.17,"9,525",7.89,"32,124",11.46,"9,994",1.21,"125,890",1.58,"66,744",2.46,"10,281",1.12,"62,423",5.57,"121,992",4.78,"31,836",17.64,"98,945",4.94,"6,236",0.37,"38,850",1.92,"12,354",1.14,"40,646",5.39,"382,114",3.23,"65,771",1.76,"4,953",2.2,"28,487",2.36,"203,346",7.84,"5,968",3.72,"66,757",5.18,"5,575",18.33
46,               Other general revenue,"158,587,855",0.15,"2,004,751",0.61,"2,149,054",0.07,"2,223,464",0.35,"1,170,982",0.41,"16,529,495",1.03,"2,385,505",1.22,"1,334,615",0.24,"980,532",0,"969,616",0,"10,862,618",0.61,"3,401,590",0.62,"1,234,854",0,"494,408",0.28,"4,994,258",0.65,"2,352,061",0.81,"1,942,520",0.54,"1,736,547",0.84,"1,210,713",0.29,"3,159,379",0.36,"399,977",1.06,"2,905,666",0.19,"4,211,914",0.18,"4,266,029",0.56,"2,589,201",0.6,"832,666",0.66,"2,697,842",0.71,"360,253",0.3,"955,987",1.19,"994,578",1.11,"661,558",0.29,"5,429,618",0.5,"2,109,780",0.15,"18,781,090",0.18,"4,204,924",0.45,"414,548",1.01,"5,437,392",2.02,"2,517,837",0.4,"2,460,514",0.35,"5,323,067",0.25,"665,713",0.11,"2,275,229",0.34,"426,700",0.53,"2,465,906",0.61,"11,056,091",0.64,"1,352,218",2.35,"256,826",0.65,"4,351,604",0.43,"2,746,281",0.51,"1,032,548",0.25,"2,754,787",0.28,"512,549",0.38
47,Utility revenue,"166,243,727",0.39,"3,097,889",4.51,"405,910",1.05,"4,826,427",0.8,"986,437",1.25,"27,989,922",1.77,"2,766,018",2.37,"788,718",1.77,"469,724",0,"1,067,057",0,"9,564,141",1.82,"5,205,693",2.25,"417,658",0,"237,127",2.59,"5,066,716",1.49,"2,734,508",2.71,"1,165,120",3.1,"1,542,202",0.86,"1,813,710",2.09,"1,215,448",1.51,"138,896",5.38,"1,069,327",0.7,"3,776,985",0.81,"2,787,504",1.55,"2,412,118",1.8,"904,962",4.1,"2,613,934",2.97,"131,751",1.68,"4,496,733",0.85,"1,213,099",0.15,"124,329",1.69,"2,146,226",2.02,"617,816",0.22,"16,100,439",0.39,"4,929,000",1.42,"251,442",0.88,"3,057,282",2.07,"1,955,452",2.6,"1,551,005",2.23,"2,991,294",2.6,"233,154",0.83,"3,761,090",0.92,"364,130",0.68,"9,340,080",1.57,"14,072,658",1,"2,056,877",1.34,"241,402",3.56,"2,053,559",1.34,"6,814,204",1.04,"250,289",2.85,"2,207,282",1.78,"218,983",2.51
48,     Water supply,"61,156,776",0.61,"886,531",3.47,"113,559",1.04,"1,383,506",1.63,"471,973",2.11,"13,249,350",2.13,"1,434,250",4.37,"329,906",2.41,"85,412",0,"168,413",0,"4,095,476",2.55,"2,171,304",1.58,"356,139",0,"147,287",3.18,"2,838,528",1.96,"865,815",3.99,"524,293",3.96,"639,509",1.82,"723,584",4.74,"479,737",1.73,"113,924",6.55,"824,885",0.88,"1,390,698",0.94,"1,575,567",2.31,"646,537",1.7,"295,246",4.23,"875,461",7.31,"129,212",1.71,"272,324",2.12,"992,769",0.12,"106,469",1.97,"941,261",3.31,"339,919",0.39,"2,508,854",1.77,"1,419,198",3,"221,474",0.89,"1,844,288",1.89,"819,471",5.12,"706,110",3.43,"1,430,234",5.05,"199,900",0.97,"847,902",2.42,"135,915",1,"1,142,524",3.07,"6,182,301",1.68,"564,572",2.42,"78,107",3.07,"1,255,327",1.52,"1,293,092",4.63,"228,182",3.1,"679,798",1.88,"130,683",3.64
49,     Electric power,"81,250,216",0.63,"1,761,495",7.51,"284,633",1.43,"3,284,123",0.96,"507,249",1.43,"12,212,403",3.29,"957,522",1.98,"382,494",2.96,"362,991",0,0,0,"4,871,457",2.84,"1,930,644",4.24,0,0,"86,604",4.53,"1,149,094",4.27,"1,381,448",4.73,"547,506",5.35,"846,603",0.74,"676,625",1.62,"563,106",2.36,"12,319",0.83,"72,294",2.34,"1,524,849",1.67,"1,124,828",2.07,"1,494,382",2.8,"444,099",7.12,"1,519,117",2.85,579,15.58,"3,931,565",0.96,"125,422",1.07,"12,610",0,"164,815",18.19,"199,166",0.04,"7,106,339",0.62,"3,263,397",1.68,"26,274",3.7,"1,027,145",5.12,"1,088,486",2.51,"700,179",3.4,"178,286",15.69,"8,666",0,"2,624,229",0.4,"212,626",0.78,"6,684,116",1.97,"7,275,833",1.3,"1,425,721",1.66,"157,721",5.24,"447,381",4.38,"5,044,512",0.69,"10,983",0,"1,448,659",2.57,"87,621",3.14
50,     Gas supply,"7,477,625",1.51,"445,008",7.4,0,0,"43,613",5.8,"3,599",12.72,"235,687",15.95,"224,135",0.62,"19,361",0.1,0,0,0,0,"252,772",3.6,"928,810",8.2,0,0,0,0,"84,154",11.78,"436,801",1.61,"67,789",5.62,"49,737",2.14,"388,944",3.02,"141,300",6.87,0,0,0,0,"57,269",0,0,0,"150,023",0.57,"163,535",9.11,"138,322",5.31,0,0,"285,739",0.81,0,0,0,0,0,0,"60,050",0.3,"17,356",16.48,"173,592",2.91,390,40.15,"49,510",0.27,"39,293",20.75,502,0,"694,513",0.02,0,0,"271,944",9.42,"14,383",8.53,"1,469,450",3.59,"329,001",1.82,"9,887",35.3,0,0,"220,130",0.11,"9,352",77.54,404,0,"1,270",3.99,0,0
51,     Transit,"16,359,110",0.28,"4,855",0.2,"7,718",0,"115,185",0.52,"3,616",7.96,"2,292,482",1.74,"150,111",1.21,"56,957",2.77,"21,321",0,"898,644",0,"344,436",0.18,"174,935",0.02,"61,519",0,"3,236",18.74,"994,940",0.87,"50,444",0.14,"25,532",8.17,"6,353",0,"24,557",0.13,"31,305",0,"12,653",2.3,"172,148",0,"804,169",1.37,"87,109",1.79,"121,176",0.78,"2,082",46.26,"81,034",0.09,"1,960",0.15,"7,105",0.13,"94,908",0,"5,250",1.68,"1,040,150",0,"18,681",0.11,"6,467,890",0.03,"72,813",2.78,"3,304",0.02,"136,339",4.67,"8,202",0.07,"144,214",4.57,"688,261",0.93,"24,588",0,"17,015",17.23,"1,206",0.82,"43,990",0.93,"285,523",1.38,"56,697",0.02,"5,574",0.04,"130,721",2.47,"467,248",2.71,"10,720",9.25,"77,555",0.5,679,0
52,Liquor store revenue,"9,411,541",0.23,"308,180",0,"6,019",33.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"145,953",0,0,0,0,0,"280,834",0,0,0,0,0,0,0,33,0,"290,455",0,0,0,"1,021,890",0,"333,948",4.62,"312,934",0,0,0,"89,312",0,0,0,0,0,"631,095",0,0,0,0,0,0,0,"741,061",2.01,0,0,"982,337",0,0,0,"1,087,630",0,"1,862,270",0,0,0,0,0,"20,130",4.29,0,0,0,0,"334,840",0,"54,320",0,"704,141",0,0,0,"93,951",0,0,0,"110,208",0
